name,B:D,B:DFS,B:BFS,B:HEU,B:NOC,B:DFS>D@inc,B:DFS>BFS@inc,B:HEU>D@25,B:NOC>D@25,B:D>BFS@50,B:D>DFS@50,B:D>HEU@50
CMS750_4,0.12933447946715373,0.14638904553992957,0.13874814655999151,0.37872913140268,0.2893986980397869,0.13551771362994575,0.135552270515155,0.38616665433665354,0.2964053313723669,0.1267204988645505,0.13473348128856089,0.13170022576257223
air05,0.0884289401714254,0.08783031496661664,0.09585858237982595,0.03779982770328416,0.08579705618422523,0.09078615901675605,0.10720958514621456,0.04509355239440997,0.08881433763993009,0.08697073124113885,0.09405761591343562,0.09233723659449573
binkar10_1,0.004152752723687963,0.0044391644060446005,0.006694360899239398,0.004791865559657284,0.003364713388718522,0.004283485330231193,0.006258235759757178,0.005109481197730759,0.0030247599824926247,0.0041936025992227975,0.006052209942947483,0.004398963278611021
cbs-cta,0.49972481455188245,0.5012887903819016,0.4977628149344431,0.5997838677159355,0.25419144839979707,0.5153383186998932,0.5088004773657304,0.586936449216834,0.4407338696842392,0.4901218610505263,0.5165454847175472,0.5119877138504914
cod105,0.31538391935238097,0.296299480383459,0.3399414183377909,0.28997053533126343,0.06315536361685702,0.31360985739706343,0.31676997845950405,0.31924495658572083,0.07620537737222757,0.3157975705106057,0.3134154604519911,0.30999974820701437
comp21-2idx,0.9026333751049065,0.9025387002599357,0.9052105945814328,0.9050026023296838,0.8932977838554954,0.9029548151287107,0.9036087150824351,0.9041451015889107,0.8923852786066075,0.9046931359878938,0.9032201535393329,0.9040082338530806
cryptanalysiskb128n5obj16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dano3_3,0.2722429913267099,0.2705088988206529,0.2674559538567318,0.5008706727921131,0.2680108773639246,0.2681861769061505,0.2912369901372429,0.4983759300957642,0.26755124456925145,0.26538393016066475,0.3210437927054331,0.26834015106668024
dws008-01,1.0,0.9896993050400646,1.0,1.0,1.0,0.9965946715772382,1.0,1.0,0.9750479553836318,1.0,0.9608656237983034,1.0
eil33-2,0.08803287381060663,0.08741943179458339,0.08719455789603933,0.09306677812369937,0.07060489153638627,0.08613059017389318,0.08714920820212084,0.08254747485941072,0.07825023562881828,0.08663150523662913,0.08575882827057715,0.08716514641986581
gen-ip054,0.002261757057220601,0.006120154545866158,0.004186202617009602,0.0036963540510942293,0.0033977116268641876,0.002237017211455953,0.004025855243555171,0.0032318983646306364,0.0034326593874535625,0.0023775208400083937,0.002551143765982818,0.002378294509750338
glass-sc,0.036193794864442984,0.0361019221132849,0.03629781216257071,0.06103045686073971,0.06469124885510963,0.03754880413388824,0.03644050211812152,0.07094267939664099,0.062076873351252955,0.03654719287432303,0.03917133894421798,0.03839667989022978
graphdraw-domain,0.0897617582710303,0.09019572689604319,0.15495714355456178,0.06387835419699775,0.06204268154405458,0.09112978676543083,0.15474889350282522,0.08069964781606893,0.06284454949914677,0.09811050387434589,0.10818029510266568,0.09669330369966975
h80x6320d,0.6286599399884953,0.6303617793408868,0.6290045300955143,0.6255350799958982,0.1130159888160106,0.6283987194269828,0.6295291177346947,0.6255124592729624,0.08354311117921837,0.6291406311364411,0.6309604358153238,0.6313239832327281
hypothyroid-k1,0.14887734975672884,0.1572743211776621,0.14660274605401183,0.2098183498418043,0.15231077083546396,0.15320824828137952,0.15079464945095872,0.20325363987030148,0.1680557865462548,0.147890374529434,0.15281629112951728,0.14160041021289382
ic97_potential,0.02639036678084012,0.01939047797541984,0.028746827790387418,0.02816435883037334,0.008845410950966052,0.026739272815528275,0.03237202894800348,0.029440624977359428,0.009855373877212375,0.028201607923479297,0.022317733822476815,0.025064406716013406
istanbul-no-cutoff,0.1652656301369227,0.1523829050112417,0.21312241840386803,0.16507876934899607,0.13346948179040335,0.17377145653045212,0.17428773107250728,0.15170143830114066,0.1341641778766097,0.18866816807303122,0.17160442422037236,0.18098223081616172
neos-1445765,0.45681950993252557,0.5035014637544807,0.5715158255368622,0.616412512809153,0.48832682471115235,0.6176451693333529,0.556325559133753,0.48893139844434785,0.49875359506129247,0.5996383904172587,0.6027978306450328,0.525076171982034
neos-1456979,0.9689811786502763,0.6424965598796455,0.8553077848132216,1.0,0.7096672807133463,0.7379300741779081,0.7181135767550539,1.0,0.7515560001279951,0.6832376931761099,0.7679591023775149,0.944411665448657
neos-2746589-doon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neos-3046615-murg,0.035731633896320406,0.07015680214177958,0.05142379011376287,0.015159280796026724,0.04529251314063775,0.035384954158952736,0.051024240502533125,0.017304308148771468,0.0357251268636683,0.03550838425774724,0.035559660375303746,0.028204350635029143
neos-3656078-kumeu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neos-4722843-widden,0.19685391776968963,0.2113502046069855,0.2189175459833709,0.2269143780998754,0.20264869584283057,0.19338062003994755,0.19288910326511005,0.21244945988545197,0.19652920109623517,0.20332465302709618,0.19861596667733866,0.19382645469335874
neos-860300,0.18958024458351183,0.17090811387117247,0.18509382098715618,0.1923382471040942,0.09778244475715453,0.16529762143631305,0.18849304480950863,0.1899624860057793,0.08852185028729087,0.17823456982369185,0.1788520086054757,0.19490144692288644
neos-873061,0.9111469007572726,0.9111275908378818,0.9140246750931352,0.9806147466942831,0.9171830832018419,0.9164656301108476,0.9135571202741596,0.9779445109760555,0.9162342943688253,0.9371355318424761,0.9178396814536631,0.9110310627421085
neos17,0.012848751235262277,0.01273498203752808,0.013617933079373437,0.01495057273438738,0.0105719318671849,0.01388676833586654,0.014407458307712874,0.015183635617696315,0.010671630771064158,0.012828522327196426,0.012826766811740517,0.01466420617126516
neos5,0.002377065353778144,0.0066515059138365865,0.0025472036292681797,0.003003788909167017,0.0004337571316273465,0.0023565550283624996,0.0024925962042762766,0.003002304713504255,0.0004367918635884647,0.002336179050558342,0.002952890844684025,0.0034733098339073147
opm2-z10-s4,0.758086602707297,0.759680098134897,0.8261297175724238,0.8725269616999813,0.9233703153298747,0.8357022995516996,0.8345246889450649,0.9318103516166267,0.904776483159609,0.904361253747503,0.7908564113713836,0.7882870991927069
piperout-27,0.5640005645817894,0.43571440496383773,0.39362047306793496,0.41313314135391477,0.4120554915604704,0.3968083176049786,0.38688739249763565,0.432495525089994,0.4058517808770554,0.3839116017773288,0.34518146356616025,0.3470419840783247
pk1,0.14043422732037264,0.29009412120778266,0.2787789548119409,0.11295762399040819,0.05150540537862831,0.1364732103408116,0.27842737115453375,0.1235865762225827,0.05567879632314761,0.1375877561923069,0.14541033736378706,0.13633393649243608
rail01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rail507,0.1171532892989271,0.11718041876311129,0.11764577419532571,0.12455287634843754,0.11104606923919977,0.1160327557809801,0.11126822408712614,0.12533266724879671,0.1211825571670267,0.1072936263409704,0.11535027827098565,0.11060922605718991
roll3000,0.14259561710432633,0.12469021318323978,0.11467983298771625,0.1067318405352286,0.25855723351704374,0.11466910967047049,0.12357394661667372,0.10644070583495033,0.3300868805299515,0.14532219902629726,0.1446640453333967,0.1447943463859475
s100,1.0,1.0,1.0,0.8715124349019678,1.0,1.0,1.0,0.8667077359160846,1.0,1.0,1.0,1.0
seymour,0.03557127051936016,0.03502982343817293,0.03905296145622616,0.038356013344713946,0.02905103473294885,0.03589929850352043,0.03916347591146016,0.04275864034566621,0.028168569902628324,0.03949181042578918,0.03426344394709743,0.03281650398665801
