name,band
50v-10,UNSOLVED >300s
CMS750_4,MEDIUM 30-120s
academictimetablesmall,UNSOLVED >300s
air05,SHORT 5-30s
assign1-5-8,UNSOLVED >300s
beasleyC3,SHORT 5-30s
binkar10_1,SHORT 5-30s
cbs-cta,SHORT 5-30s
chromaticindex1024-7,UNSOLVED >300s
cod105,MEDIUM 30-120s
comp21-2idx,UNSOLVED >300s
cryptanalysiskb128n5obj16,UNSOLVED >300s
dano3_3,MEDIUM 30-120s
decomp2,TRIVIAL <5s
drayage-100-23,TRIVIAL <5s
dws008-01,UNSOLVED >300s
eil33-2,MEDIUM 30-120s
enlight_hard,TRIVIAL <5s
exp-1-500-5-5,TRIVIAL <5s
gen-ip054,UNSOLVED >300s
glass-sc,UNSOLVED >300s
graphdraw-domain,UNSOLVED >300s
h80x6320d,SHORT 5-30s
hypothyroid-k1,SHORT 5-30s
ic97_potential,UNSOLVED >300s
istanbul-no-cutoff,MEDIUM 30-120s
mad,UNSOLVED >300s
markshare2,UNSOLVED >300s
mas74,UNSOLVED >300s
mas76,MEDIUM 30-120s
n3div36,UNSOLVED >300s
neos-1171737,UNSOLVED >300s
neos-1445765,MEDIUM 30-120s
neos-1456979,HARD 120-300s
neos-2657525-crna,UNSOLVED >300s
neos-2746589-doon,UNSOLVED >300s
neos-2978193-inde,MEDIUM 30-120s
neos-3004026-krka,MEDIUM 30-120s
neos-3046615-murg,UNSOLVED >300s
neos-3381206-awhea,TRIVIAL <5s
neos-3656078-kumeu,UNSOLVED >300s
neos-3754480-nidda,UNSOLVED >300s
neos-4722843-widden,HARD 120-300s
neos-4763324-toguru,UNSOLVED >300s
neos-787933,TRIVIAL <5s
neos-860300,SHORT 5-30s
neos-873061,HARD 120-300s
neos-911970,SHORT 5-30s
neos17,SHORT 5-30s
neos5,MEDIUM 30-120s
neos8,TRIVIAL <5s
net12,UNSOLVED >300s
ns1116954,TRIVIAL <5s
ns1952667,UNSOLVED >300s
opm2-z10-s4,UNSOLVED >300s
p200x1188c,TRIVIAL <5s
piperout-27,SHORT 5-30s
pk1,MEDIUM 30-120s
radiationm40-10-02,UNSOLVED >300s
rail01,UNSOLVED >300s
rail507,HARD 120-300s
roll3000,SHORT 5-30s
s100,UNSOLVED >300s
satellites2-40,UNSOLVED >300s
seymour,UNSOLVED >300s
seymour1,MEDIUM 30-120s
sing326,UNSOLVED >300s
snp-02-004-104,MEDIUM 30-120s
sorrell3,UNSOLVED >300s
sp150x300d,TRIVIAL <5s
sp98ar,UNSOLVED >300s
supportcase18,UNSOLVED >300s
supportcase22,UNSOLVED >300s
supportcase26,UNSOLVED >300s
supportcase42,UNSOLVED >300s
swath3,MEDIUM 30-120s
timtab1,MEDIUM 30-120s
tr12-30,HARD 120-300s
traininstance6,HARD 120-300s
uccase12,MEDIUM 30-120s
