set,instance,H0,H1,S0,S1,C0,C1,H0||C0,H0||C1,H1||C0,H1||C1,S0||C0,S0||C1,S1||C0,S1||C1,H1->C0@25%,H1->C0@50%,C0->H1@25%,C0->H1@50%
miplib,timtab1,0.024886706802313856,0.019818160236731556,0.07894622701205416,0.09228581328114883,0.14556401454352125,0.22761024001894864,0.024886706802313856,0.020637419168089425,0.019818160236731556,0.018525277658143283,0.07008243991337795,0.06224457410911356,0.07134614016571586,0.06247399582755429,0.027954262298347885,0.019818160236731556,0.09778689892563143,0.12047996249954755
miplib,rail507,0.1596972140524395,0.1765566282776693,0.11564504878223289,0.0993562430395252,0.13762985671569145,0.15364865704749114,0.06838591653264213,0.0780777378231161,0.0733786520705533,0.08355722845235242,0.06547789305570065,0.07429140385454168,0.050185656350758466,0.05854042997749504,0.213888805574463,0.1804063869508243,0.1022513356016178,0.1293563443917938
miplib,supportcase18,0.05599865678096502,0.05320773310612048,0.11582321061908789,0.10304677919446581,0.07246701947553956,0.0643472896996611,0.047346212054784814,0.04598492870246364,0.042922854744228474,0.04175266313434689,0.07079200671398721,0.058601416326426466,0.07061920126691403,0.05842861087935328,0.07862256134651284,0.05320773310612048,0.05955438570930942,0.06625987430837542
miplib,academictimetablesmall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miplib,beasleyC3,0.008549642521484997,0.006546467756652687,0.028279110832380418,0.028989510155267264,0.12394070441281585,0.11845303552755605,0.008549642521484997,0.008549642521484997,0.006546467756652687,0.006546467756652687,0.028279110832380418,0.026898145434218042,0.028989510155267264,0.02739572113586949,0.007532121196917052,0.006546467756652687,0.08069270995493157,0.10612296554071812
miplib,comp21-2idx,0.794931650438927,0.778590275390975,0.8977190588050339,0.9075274916846978,0.7079967830204725,0.7098508756216478,0.6684511361655191,0.6835563258981748,0.6669528138242146,0.6850186732182517,0.7076127930843047,0.7077217508870837,0.707996076461709,0.7098508756216478,0.7439712474691886,0.778590275390975,0.8131378008126525,0.8557012710152873
miplib,neos-3656078-kumeu,1.0,1.0,1.0,1.0,0.14602725708132866,0.11966885239884441,0.14602725708132866,0.11966885239884441,0.14602725708132866,0.11966885239884441,0.14602725708132866,0.11966885239884441,0.14602725708132866,0.11966885239884441,0.37514236313802385,0.604257469194719,0.16309395788324998,0.14602725708132866
miplib,satellites2-40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miplib,enlight_hard,0.33429154845071046,0.17916424021823332,5.345151682073871e-05,0.00010468943316179017,0.007886600500205532,0.006871016616544997,0.007886600500205532,0.006871016616544997,0.007886600500205532,0.006871016616544997,5.345151682073871e-05,5.345151682073871e-05,0.00010468943316179017,0.00010468943316179017,0.17916424021823332,0.17916424021823332,0.007886600500205532,0.007886600500205532
miplib,neos-3381206-awhea,0.002969329374143854,0.0028295183909297183,0.04140728018246591,0.06007920103341651,0.15934190518698532,1.0,0.002969329374143854,0.002969329374143854,0.0028295183909297183,0.0028295183909297183,0.04140728018246591,0.04140728018246591,0.06007920103341651,0.06007920103341651,0.0028295183909297183,0.0028295183909297183,0.15934190518698532,0.15934190518698532
miplib,cryptanalysiskb128n5obj16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miplib,exp-1-500-5-5,0.016216037795884052,0.0174126838067391,0.014592973850499518,0.012274501816243006,0.2874680379686468,0.3549182831128141,0.014952714244579337,0.01602190689512065,0.015989649601603803,0.017058842252145115,0.014592973850499518,0.014592973850499518,0.012274501816243006,0.012274501816243006,0.0174126838067391,0.0174126838067391,0.15900546419000375,0.2529304765749181
miplib,hypothyroid-k1,0.12601397814589277,0.1193133798855976,0.11094599602973822,0.12057575929366034,0.18809109517355396,0.21054319955386142,0.1123207745326044,0.12033712076972033,0.10710285056318952,0.11410195686194818,0.0994508127846537,0.10613973547933489,0.1074035366159016,0.11473863272136821,0.11931337988559751,0.11931337988559756,0.18809109517355396,0.18809109517355396
miplib,neos-2657525-crna,0.8009677200834446,0.7410979802427378,0.8298548932668065,0.7921506491813998,0.0654138474752429,0.7948648432185618,0.0654138474752429,0.785417213645553,0.0654138474752429,0.6898710901597336,0.0654138474752429,0.7926471457923727,0.06541096335007453,0.7871908625314961,0.3154138474752429,0.5127279878970978,0.0654138474752429,0.0654138474752429
miplib,air05,0.043953076721825364,0.053967576915082985,0.07337009757762937,0.026026391119460465,0.16288925230999796,0.1785961952011732,0.03300175643053063,0.03660934506547271,0.040370710847645874,0.04446657208963221,0.057055229295721224,0.06379191449233333,0.02089400527053849,0.020249246352842476,0.05396757691508287,0.053967576915082985,0.11884900788183458,0.17237370842853988
miplib,mas76,0.0007566729300189391,0.0003968497882973363,0.001203363654118671,0.001206668729452296,0.040659821402237166,0.04912738817641891,0.0007566729003426544,0.0007566729300189391,0.00039684975862105157,0.0003968497882973363,0.0012033636100704666,0.0012033636490194229,0.001206668729452296,0.001206668729452296,0.00039684977152492344,0.0003968497844287954,0.039309171493101466,0.040659821402237166
miplib,neos-1456979,0.5206522440254887,0.4490941863307809,0.8296055000738671,0.8718978356753908,0.48945131104629946,0.3251748734266825,0.3362214570542127,0.3210898273978209,0.30960250850405224,0.28597029435926724,0.4499464646969795,0.3251748734266825,0.46844171650708905,0.3251748734266825,0.6537815920188954,0.5706743511281511,0.45324770004171416,0.5021228419518379
miplib,rail01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miplib,neos-787933,0.37531242746738036,0.41677848582302696,0.013463333682268184,0.01890107945310338,0.4232290049430276,0.31032441612344946,0.23700972120199154,0.19832326853091595,0.26904096706564345,0.22352487977283494,0.013463333682268184,0.013069269546889122,0.017708895516359232,0.015998135200084664,0.5689619012359327,0.45095016173452634,0.37461281457297485,0.4590567988212987
miplib,neos-4722843-widden,0.6026975010589304,0.5764542254271984,0.1800977664844955,0.18473002199224495,1.0,1.0,0.6026975010589304,0.6026975010589304,0.5764542254271984,0.5764542254271984,0.1800977664844955,0.1800977664844955,0.18473002199224495,0.18473002199224495,1.0,1.0,0.810048341099786,1.0
