instance,reference,kind,source
50v-10,3311.1799841,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
CMS750_4,252.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
academictimetablesmall,0.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
air05,26374.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
assign1-5-8,211.999999999998,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
beasleyC3,753.9999999999128,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
binkar10_1,6742.1998835,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
ca__2014-09-01_reserves_0,48255.292062258835,best_observed,best value of any run in traces/
ca__2014-09-01_reserves_1,52574.68278409541,best_observed,best value of any run in traces/
ca__2014-09-01_reserves_3,78371.464456838,best_observed,best value of any run in traces/
ca__2014-09-01_reserves_5,59346.34455999287,best_observed,best value of any run in traces/
ca__2014-12-01_reserves_0,39233.731199013804,best_observed,best value of any run in traces/
ca__2014-12-01_reserves_1,42104.88620943972,best_observed,best value of any run in traces/
ca__2014-12-01_reserves_3,40397.75478665872,best_observed,best value of any run in traces/
ca__2014-12-01_reserves_5,55460.622573305474,best_observed,best value of any run in traces/
ca__2015-03-01_reserves_0,32031.93172207538,best_observed,best value of any run in traces/
ca__2015-03-01_reserves_1,33930.48891181009,best_observed,best value of any run in traces/
ca__2015-03-01_reserves_3,54907.218936629506,best_observed,best value of any run in traces/
ca__2015-03-01_reserves_5,32332.991757704724,best_observed,best value of any run in traces/
ca__2015-06-01_reserves_0,41684.667036540835,best_observed,best value of any run in traces/
ca__2015-06-01_reserves_1,43519.84836253382,best_observed,best value of any run in traces/
ca__2015-06-01_reserves_3,89053.48748952954,best_observed,best value of any run in traces/
ca__2015-06-01_reserves_5,41978.74895279238,best_observed,best value of any run in traces/
ca__Scenario400_reserves_0,34631.57124340711,best_observed,best value of any run in traces/
ca__Scenario400_reserves_1,34337.383758379234,best_observed,best value of any run in traces/
ca__Scenario400_reserves_3,5053608.396654853,best_observed,best value of any run in traces/
ca__Scenario400_reserves_5,35364.988964602824,best_observed,best value of any run in traces/
cbs-cta,0.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
chromaticindex1024-7,4.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
cod105,-12.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
comp21-2idx,74.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
cryptanalysiskb128n5obj16,0.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
dano3_3,576.34463303,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
decomp2,-160.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
