sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
CMS750_4__C:D+RST@25__s0.json.gz,CMS750_4.mps.gz,C:D+RST@25,0,True,1.4210854715202004e-13,2.1671553440683056e-13,1.8189894035458565e-12,252.0,252.0,0.0,0
CMS750_4__C:D+RST@25__s1.json.gz,CMS750_4.mps.gz,C:D+RST@25,1,True,1.0302869668521453e-13,4.334310688136611e-13,5.6274984672199935e-12,252.0,252.0,0.0,0
CMS750_4__C:D+RST@stall20__s0.json.gz,CMS750_4.mps.gz,C:D+RST@stall20,0,True,2.0605739337042905e-13,2.0605739337042905e-13,3.922195901395753e-12,252.0,252.0,0.0,0
CMS750_4__C:D+RST@stall20__s1.json.gz,CMS750_4.mps.gz,C:D+RST@stall20,1,True,1.0302869668521453e-13,4.334310688136611e-13,5.6274984672199935e-12,252.0,252.0,0.0,0
CMS750_4__C:D>PSC@25__s0.json.gz,CMS750_4.mps.gz,C:D>PSC@25,0,True,0.0,1.4210854715202004e-14,1.1368683772161603e-13,253.0,253.0,0.0,0
CMS750_4__C:D>PSC@25__s1.json.gz,CMS750_4.mps.gz,C:D>PSC@25,1,True,1.0302869668521453e-13,4.334310688136611e-13,5.6274984672199935e-12,252.0,252.0,0.0,0
CMS750_4__C:D__s0.json.gz,CMS750_4.mps.gz,C:D,0,True,1.1368683772161603e-13,1.3855583347321954e-13,7.958078640513122e-13,252.0,252.0,0.0,0
CMS750_4__C:D__s1.json.gz,CMS750_4.mps.gz,C:D,1,True,1.0302869668521453e-13,4.334310688136611e-13,5.6274984672199935e-12,252.0,252.0,0.0,0
CMS750_4__C:HEU>HOFF@25__s0.json.gz,CMS750_4.mps.gz,C:HEU>HOFF@25,0,True,1.4210854715202004e-14,1.4210854715202004e-14,1.1368683772161603e-13,530.0,530.0,0.0,0
CMS750_4__C:HEU>HOFF@25__s1.json.gz,CMS750_4.mps.gz,C:HEU>HOFF@25,1,True,0.0,0.0,7.579122514774402e-15,252.0,252.0,0.0,0
CMS750_4__C:HEU__s0.json.gz,CMS750_4.mps.gz,C:HEU,0,True,0.0,5.551115123125783e-17,4.210623619319112e-15,478.0,478.0,0.0,0
CMS750_4__C:HEU__s1.json.gz,CMS750_4.mps.gz,C:HEU,1,True,0.0,0.0,1.1368683772161603e-13,252.0,252.0,0.0,0
CMS750_4__C:HOFF>HEU@stall20__s0.json.gz,CMS750_4.mps.gz,C:HOFF>HEU@stall20,0,True,0.0,0.0,1.7053025658242404e-13,253.0,253.0,0.0,0
CMS750_4__C:HOFF>HEU@stall20__s1.json.gz,CMS750_4.mps.gz,C:HOFF>HEU@stall20,1,True,0.0,1.7763568394002505e-15,4.547473508864641e-13,252.0,252.0,0.0,0
CMS750_4__C:HOFF__s0.json.gz,CMS750_4.mps.gz,C:HOFF,0,True,5.471179065352771e-13,5.471179065352771e-13,1.3869794202037156e-11,252.0,252.0,0.0,0
CMS750_4__C:HOFF__s1.json.gz,CMS750_4.mps.gz,C:HOFF,1,True,1.0125233984581428e-12,1.0125233984581428e-12,1.5916157281026244e-12,257.0,257.0,0.0,0
CMS750_4__C:INF__s0.json.gz,CMS750_4.mps.gz,C:INF,0,True,7.596347793216949e-14,1.6797503228133248e-13,3.183231456205249e-12,252.0,252.0,0.0,0
CMS750_4__C:INF__s1.json.gz,CMS750_4.mps.gz,C:INF,1,True,4.218847493575595e-15,4.218847493575595e-15,3.727437302348067e-15,252.0,252.0,0.0,0
CMS750_4__C:NOC__s0.json.gz,CMS750_4.mps.gz,C:NOC,0,True,0.0,0.0,0.0,274.0,274.0,0.0,0
CMS750_4__C:NOC__s1.json.gz,CMS750_4.mps.gz,C:NOC,1,True,0.0,0.0,0.0,282.0,282.0,0.0,0
CMS750_4__C:PSC>D@25__s0.json.gz,CMS750_4.mps.gz,C:PSC>D@25,0,True,3.983138605270547e-14,1.5762523731589913e-13,2.3874235921539366e-12,252.0,252.0,0.0,0
CMS750_4__C:PSC>D@25__s1.json.gz,CMS750_4.mps.gz,C:PSC>D@25,1,True,2.2737367544323206e-13,2.2737367544323206e-13,3.410605131648481e-12,252.0,252.0,0.0,0
CMS750_4__C:PSC__s0.json.gz,CMS750_4.mps.gz,C:PSC,0,True,1.1171231119921864e-12,1.1171231119921864e-12,1.116367472053246e-12,252.0,252.0,0.0,0
CMS750_4__C:PSC__s1.json.gz,CMS750_4.mps.gz,C:PSC,1,True,2.2737367544323206e-13,2.2737367544323206e-13,3.410605131648481e-12,252.0,252.0,0.0,0
air05__C:D+RST@25__s0.json.gz,air05.mps.gz,C:D+RST@25,0,True,0.0,0.0,0.0,26374.0,26374.0,0.0,0
air05__C:D+RST@25__s1.json.gz,air05.mps.gz,C:D+RST@25,1,True,2.3282962859281855e-14,2.5424107263916085e-14,1.7541523789077473e-14,26374.0,26374.0,0.0,0
