sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
cbs-cta__A:bandit5__s0.json.gz,cbs-cta.mps.gz,A:bandit5,0,True,0.0,1.1102230246251565e-16,2.8181901257084974e-11,0.0,0.0,0.0,0
cbs-cta__A:bandit5__s1.json.gz,cbs-cta.mps.gz,A:bandit5,1,True,7.105427357601002e-15,2.220446049250313e-16,9.49601508537512e-12,0.0,0.0,0.0,0
cbs-cta__C:D+RST@25__s0.json.gz,cbs-cta.mps.gz,C:D+RST@25,0,True,0.0,1.1102230246251565e-16,2.8181901257084974e-11,0.0,0.0,0.0,0
cbs-cta__C:D+RST@25__s1.json.gz,cbs-cta.mps.gz,C:D+RST@25,1,True,7.105427357601002e-15,2.220446049250313e-16,9.49601508537512e-12,0.0,0.0,0.0,0
cbs-cta__C:D+RST@stall20__s0.json.gz,cbs-cta.mps.gz,C:D+RST@stall20,0,True,0.0,1.1102230246251565e-16,2.8181901257084974e-11,0.0,0.0,0.0,0
cbs-cta__C:D+RST@stall20__s1.json.gz,cbs-cta.mps.gz,C:D+RST@stall20,1,True,7.105427357601002e-15,2.220446049250313e-16,9.49601508537512e-12,0.0,0.0,0.0,0
cbs-cta__C:D>PSC@25__s0.json.gz,cbs-cta.mps.gz,C:D>PSC@25,0,True,0.0,1.1102230246251565e-16,2.8181901257084974e-11,0.0,0.0,0.0,0
cbs-cta__C:D>PSC@25__s1.json.gz,cbs-cta.mps.gz,C:D>PSC@25,1,True,7.105427357601002e-15,2.220446049250313e-16,9.49601508537512e-12,0.0,0.0,0.0,0
cbs-cta__C:D__s0.json.gz,cbs-cta.mps.gz,C:D,0,True,0.0,1.1102230246251565e-16,2.8181901257084974e-11,0.0,0.0,0.0,0
cbs-cta__C:D__s1.json.gz,cbs-cta.mps.gz,C:D,1,True,7.105427357601002e-15,2.220446049250313e-16,9.49601508537512e-12,0.0,0.0,0.0,0
cbs-cta__C:HEU>HOFF@25__s0.json.gz,cbs-cta.mps.gz,C:HEU>HOFF@25,0,True,0.0,0.0,9.045209026226075e-12,0.0,0.0,0.0,0
cbs-cta__C:HEU>HOFF@25__s1.json.gz,cbs-cta.mps.gz,C:HEU>HOFF@25,1,True,1.709743457922741e-14,0.0,2.7303714844606475e-12,0.0,0.0,0.0,0
cbs-cta__C:HEU__s0.json.gz,cbs-cta.mps.gz,C:HEU,0,True,0.0,0.0,9.045209026226075e-12,0.0,0.0,0.0,0
cbs-cta__C:HEU__s1.json.gz,cbs-cta.mps.gz,C:HEU,1,True,1.709743457922741e-14,0.0,2.7303714844606475e-12,0.0,0.0,0.0,0
cbs-cta__C:HOFF>HEU@stall20__s0.json.gz,cbs-cta.mps.gz,C:HOFF>HEU@stall20,0,True,0.0,0.0,4.592565217009792e-11,0.0,0.0,0.0,0
cbs-cta__C:HOFF>HEU@stall20__s1.json.gz,cbs-cta.mps.gz,C:HOFF>HEU@stall20,1,True,0.0,0.0,1.0561862495706009e-10,0.0,0.0,0.0,0
cbs-cta__C:INF__s0.json.gz,cbs-cta.mps.gz,C:INF,0,True,0.0,1.1102230246251565e-16,2.8181901257084974e-11,0.0,0.0,0.0,0
cbs-cta__C:INF__s1.json.gz,cbs-cta.mps.gz,C:INF,1,True,7.105427357601002e-15,2.220446049250313e-16,9.49601508537512e-12,0.0,0.0,0.0,0
cbs-cta__C:NOC__s0.json.gz,cbs-cta.mps.gz,C:NOC,0,True,0.0,0.0,2.611244553918368e-13,0.0,0.0,0.0,0
cbs-cta__C:NOC__s1.json.gz,cbs-cta.mps.gz,C:NOC,1,True,0.0,0.0,1.6074253039732866e-11,0.0,0.0,0.0,0
cbs-cta__C:PSC>D@25__s0.json.gz,cbs-cta.mps.gz,C:PSC>D@25,0,True,0.0,1.1102230246251565e-16,2.8181901257084974e-11,0.0,0.0,0.0,0
cbs-cta__C:PSC>D@25__s1.json.gz,cbs-cta.mps.gz,C:PSC>D@25,1,True,7.105427357601002e-15,2.220446049250313e-16,9.49601508537512e-12,0.0,0.0,0.0,0
cbs-cta__C:PSC__s0.json.gz,cbs-cta.mps.gz,C:PSC,0,True,0.0,1.1102230246251565e-16,2.8181901257084974e-11,0.0,0.0,0.0,0
cbs-cta__C:PSC__s1.json.gz,cbs-cta.mps.gz,C:PSC,1,True,7.105427357601002e-15,2.220446049250313e-16,9.49601508537512e-12,0.0,0.0,0.0,0
cod105__A:bandit5__s0.json.gz,cod105.mps.gz,A:bandit5,0,True,4.169789652750767e-14,4.169789652750767e-14,1.1324274851176597e-13,-12.0,-12.0,0.0,0
cod105__A:bandit5__s1.json.gz,cod105.mps.gz,A:bandit5,1,True,1.6209256159527285e-14,2.0933605662667542e-14,3.863576125695545e-14,-12.0,-12.0,0.0,0
cod105__C:D+RST@25__s0.json.gz,cod105.mps.gz,C:D+RST@25,0,True,4.169789652750767e-14,4.169789652750767e-14,1.1324274851176597e-13,-12.0,-12.0,0.0,0
cod105__C:D+RST@25__s1.json.gz,cod105.mps.gz,C:D+RST@25,1,True,1.6209256159527285e-14,2.0933605662667542e-14,3.863576125695545e-14,-12.0,-12.0,0.0,0
