set,sol,state
_smoke,tr12-30__A:bandit__s0.json.gz,checked_feasible
_smoke,tr12-30__A:rules__s0.json.gz,checked_feasible
_smoke,tr12-30__C:D+RST@stall20__s0.json.gz,checked_feasible
_smoke,tr12-30__C:PSC>D@25__s0.json.gz,checked_feasible
_smoke,tr12-30__CORRUPT__s0.json.gz,test_fixture_detected
b2_scip,CMS750_4__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,CMS750_4__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,CMS750_4__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,CMS750_4__C:D__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:D__s1.json.gz,checked_feasible
b2_scip,CMS750_4__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,CMS750_4__C:HEU__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:HEU__s1.json.gz,checked_feasible
b2_scip,CMS750_4__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,CMS750_4__C:HOFF__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:HOFF__s1.json.gz,checked_feasible
b2_scip,CMS750_4__C:INF__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:INF__s1.json.gz,checked_feasible
b2_scip,CMS750_4__C:NOC__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:NOC__s1.json.gz,checked_feasible
b2_scip,CMS750_4__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,CMS750_4__C:PSC__s0.json.gz,checked_feasible
b2_scip,CMS750_4__C:PSC__s1.json.gz,checked_feasible
b2_scip,air05__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,air05__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,air05__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,air05__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,air05__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,air05__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,air05__C:D__s0.json.gz,checked_feasible
b2_scip,air05__C:D__s1.json.gz,checked_feasible
b2_scip,air05__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,air05__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,air05__C:HEU__s0.json.gz,checked_feasible
b2_scip,air05__C:HEU__s1.json.gz,checked_feasible
b2_scip,air05__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,air05__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,air05__C:HOFF__s0.json.gz,checked_feasible
b2_scip,air05__C:HOFF__s1.json.gz,checked_feasible
b2_scip,air05__C:INF__s0.json.gz,checked_feasible
b2_scip,air05__C:INF__s1.json.gz,checked_feasible
b2_scip,air05__C:NOC__s0.json.gz,checked_feasible
b2_scip,air05__C:NOC__s1.json.gz,checked_feasible
b2_scip,air05__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,air05__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,air05__C:PSC__s0.json.gz,checked_feasible
b2_scip,air05__C:PSC__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:D__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:D__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:HEU__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:HEU__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:HOFF__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:HOFF__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:INF__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:INF__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:NOC__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:NOC__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,binkar10_1__C:PSC__s0.json.gz,checked_feasible
b2_scip,binkar10_1__C:PSC__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,cbs-cta__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,cbs-cta__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,cbs-cta__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:D__s0.json.gz,checked_feasible
b2_scip,cbs-cta__C:D__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:D__s2.json.gz,checked_feasible
b2_scip,cbs-cta__C:D__s3.json.gz,checked_feasible
b2_scip,cbs-cta__C:D__s4.json.gz,checked_feasible
b2_scip,cbs-cta__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,cbs-cta__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:HEU__s0.json.gz,checked_feasible
b2_scip,cbs-cta__C:HEU__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:HEU__s2.json.gz,checked_feasible
b2_scip,cbs-cta__C:HEU__s3.json.gz,checked_feasible
b2_scip,cbs-cta__C:HEU__s4.json.gz,checked_feasible
b2_scip,cbs-cta__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,cbs-cta__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:INF__s0.json.gz,checked_feasible
b2_scip,cbs-cta__C:INF__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:INF__s2.json.gz,checked_feasible
b2_scip,cbs-cta__C:INF__s3.json.gz,checked_feasible
b2_scip,cbs-cta__C:INF__s4.json.gz,checked_feasible
b2_scip,cbs-cta__C:NOC__s0.json.gz,checked_feasible
b2_scip,cbs-cta__C:NOC__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:NOC__s2.json.gz,checked_feasible
b2_scip,cbs-cta__C:NOC__s3.json.gz,checked_feasible
b2_scip,cbs-cta__C:NOC__s4.json.gz,checked_feasible
b2_scip,cbs-cta__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,cbs-cta__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:PSC__s0.json.gz,checked_feasible
b2_scip,cbs-cta__C:PSC__s1.json.gz,checked_feasible
b2_scip,cbs-cta__C:PSC__s2.json.gz,checked_feasible
b2_scip,cbs-cta__C:PSC__s3.json.gz,checked_feasible
b2_scip,cbs-cta__C:PSC__s4.json.gz,checked_feasible
b2_scip,cod105__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,cod105__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,cod105__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,cod105__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,cod105__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,cod105__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,cod105__C:D__s0.json.gz,checked_feasible
b2_scip,cod105__C:D__s1.json.gz,checked_feasible
b2_scip,cod105__C:D__s2.json.gz,checked_feasible
b2_scip,cod105__C:D__s3.json.gz,checked_feasible
b2_scip,cod105__C:D__s4.json.gz,checked_feasible
b2_scip,cod105__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,cod105__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,cod105__C:HEU__s0.json.gz,checked_feasible
b2_scip,cod105__C:HEU__s1.json.gz,checked_feasible
b2_scip,cod105__C:HEU__s2.json.gz,checked_feasible
b2_scip,cod105__C:HEU__s3.json.gz,checked_feasible
b2_scip,cod105__C:HEU__s4.json.gz,checked_feasible
b2_scip,cod105__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,cod105__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,cod105__C:HOFF__s0.json.gz,checked_feasible
b2_scip,cod105__C:HOFF__s1.json.gz,checked_feasible
b2_scip,cod105__C:HOFF__s2.json.gz,checked_feasible
b2_scip,cod105__C:HOFF__s3.json.gz,checked_feasible
b2_scip,cod105__C:HOFF__s4.json.gz,checked_feasible
b2_scip,cod105__C:INF__s0.json.gz,checked_feasible
b2_scip,cod105__C:INF__s1.json.gz,checked_feasible
b2_scip,cod105__C:INF__s2.json.gz,checked_feasible
b2_scip,cod105__C:INF__s3.json.gz,checked_feasible
b2_scip,cod105__C:INF__s4.json.gz,checked_feasible
b2_scip,cod105__C:NOC__s0.json.gz,checked_feasible
b2_scip,cod105__C:NOC__s1.json.gz,checked_feasible
b2_scip,cod105__C:NOC__s2.json.gz,checked_feasible
b2_scip,cod105__C:NOC__s3.json.gz,checked_feasible
b2_scip,cod105__C:NOC__s4.json.gz,checked_feasible
b2_scip,cod105__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,cod105__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,cod105__C:PSC__s0.json.gz,checked_feasible
