sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
item_placement_0__C:D__s0.json.gz,item_placement_0.mps.gz,C:D,0,True,0.0,0.0,1.1102230246251565e-16,22.012802573999988,22.012802573999988,0.0,0
item_placement_0__C:HEU__s0.json.gz,item_placement_0.mps.gz,C:HEU,0,True,1.9984014443252818e-15,1.9984014443252818e-15,1.9984014443252818e-15,18.132198581000033,18.13219858100003,1.959339714337367e-16,0
item_placement_0__C:INF__s0.json.gz,item_placement_0.mps.gz,C:INF,0,True,0.0,0.0,1.1102230246251565e-16,24.316580570999974,24.316580570999974,0.0,0
item_placement_0__C:NOC__s0.json.gz,item_placement_0.mps.gz,C:NOC,0,True,0.0,9.992007221626409e-16,2.220446049250313e-16,16.57346483099995,16.573464830999946,2.1436155414861135e-16,0
item_placement_0__C:PSC__s0.json.gz,item_placement_0.mps.gz,C:PSC,0,True,0.0,0.0,3.3306690738754696e-16,22.525482587000017,22.525482587000013,1.5771975872565126e-16,0
item_placement_10__C:D__s0.json.gz,item_placement_10.mps.gz,C:D,0,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,24.555300904000056,24.555300904000056,0.0,0
item_placement_10__C:HEU__s0.json.gz,item_placement_10.mps.gz,C:HEU,0,True,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,19.566945831099993,19.566945831099993,0.0,0
item_placement_10__C:INF__s0.json.gz,item_placement_10.mps.gz,C:INF,0,True,0.0,0.0,4.440892098500626e-16,21.4056005710999,21.405600571099896,1.659712217370386e-16,0
item_placement_10__C:NOC__s0.json.gz,item_placement_10.mps.gz,C:NOC,0,True,0.0,0.0,1.1102230246251565e-16,20.080819841100052,20.080819841100052,0.0,0
item_placement_10__C:PSC__s0.json.gz,item_placement_10.mps.gz,C:PSC,0,True,0.0,0.0,2.220446049250313e-16,25.659929621099927,25.659929621099927,0.0,0
item_placement_11__C:D__s0.json.gz,item_placement_11.mps.gz,C:D,0,True,0.0,0.0,2.220446049250313e-16,26.068309439999986,26.068309439999982,1.3628477469847401e-16,0
item_placement_11__C:HEU__s0.json.gz,item_placement_11.mps.gz,C:HEU,0,True,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,27.54758934999995,27.54758934999995,0.0,0
item_placement_11__C:INF__s0.json.gz,item_placement_11.mps.gz,C:INF,0,True,0.0,0.0,2.220446049250313e-16,28.19151258000001,28.19151258000001,0.0,0
