sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
item_placement_9910__A:default__s0.json.gz,item_placement_9910.mps.gz,A:default,0,True,0.0,0.0,1.1102230246251565e-16,18.17881852399999,18.17881852399999,0.0,0
item_placement_9910__A:default__s1.json.gz,item_placement_9910.mps.gz,A:default,1,True,0.0,0.0,2.220446049250313e-16,18.448243623999943,18.448243623999943,0.0,0
item_placement_9910__A:gpt6luna__s0.json.gz,item_placement_9910.mps.gz,A:gpt6luna,0,True,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,14.275876980000005,14.275876980000005,0.0,0
item_placement_9910__A:laya__s0.json.gz,item_placement_9910.mps.gz,A:laya,0,True,0.0,0.0,2.220446049250313e-16,14.203646339999995,14.203646339999995,0.0,0
item_placement_9910__A:laya__s1.json.gz,item_placement_9910.mps.gz,A:laya,1,True,0.0,7.771561172376096e-16,2.220446049250313e-16,15.556491469999962,15.556491469999962,0.0,0
item_placement_9910__A:llm+laya__s0.json.gz,item_placement_9910.mps.gz,A:llm+laya,0,True,0.0,0.0,2.220446049250313e-16,14.203646339999995,14.203646339999995,0.0,0
item_placement_9910__A:llm+laya__s1.json.gz,item_placement_9910.mps.gz,A:llm+laya,1,True,0.0,7.771561172376096e-16,2.220446049250313e-16,15.556491469999962,15.556491469999962,0.0,0
item_placement_9910__A:llm__s0.json.gz,item_placement_9910.mps.gz,A:llm,0,True,0.0,0.0,2.220446049250313e-16,14.203646339999995,14.203646339999995,0.0,0
item_placement_9910__A:llm__s1.json.gz,item_placement_9910.mps.gz,A:llm,1,True,0.0,3.511710489068065e-08,2.220446049250313e-16,10.571878633999996,10.571878633999997,1.6802660160014953e-16,0
item_placement_9910__C:HEU__s0.json.gz,item_placement_9910.mps.gz,C:HEU,0,True,0.0,0.0,1.1102230246251565e-16,14.906602120000047,14.906602120000047,0.0,0
item_placement_9910__C:HEU__s1.json.gz,item_placement_9910.mps.gz,C:HEU,1,True,0.0,0.0,2.220446049250313e-16,15.47908301,15.47908301,0.0,0
item_placement_9911__A:default__s0.json.gz,item_placement_9911.mps.gz,A:default,0,True,0.0,0.0,2.220446049250313e-16,22.769559344000008,22.769559344000008,0.0,0
item_placement_9911__A:default__s1.json.gz,item_placement_9911.mps.gz,A:default,1,True,0.0,0.0,1.1102230246251565e-16,19.858990880000025,19.85899088000002,1.7889698929155746e-16,0
item_placement_9911__A:gpt6luna__s0.json.gz,item_placement_9911.mps.gz,A:gpt6luna,0,True,2.7365075981374696e-16,2.7365075981374696e-16,6.661338147750939e-16,19.729831260999898,19.729831260999898,0.0,0
item_placement_9911__A:laya__s0.json.gz,item_placement_9911.mps.gz,A:laya,0,True,0.0,0.0,1.1102230246251565e-16,19.178047883,19.178047883000005,1.852489732257751e-16,0
item_placement_9911__A:laya__s1.json.gz,item_placement_9911.mps.gz,A:laya,1,True,1.1102230246251565e-16,0.0,2.220446049250313e-16,19.856601128999962,19.856601128999966,1.7891851962579185e-16,0
item_placement_9911__A:llm+laya__s0.json.gz,item_placement_9911.mps.gz,A:llm+laya,0,True,0.0,0.0,1.1102230246251565e-16,19.178047883,19.178047883000005,1.852489732257751e-16,0
item_placement_9911__A:llm+laya__s1.json.gz,item_placement_9911.mps.gz,A:llm+laya,1,True,1.1102230246251565e-16,0.0,2.220446049250313e-16,19.856601128999962,19.856601128999966,1.7891851962579185e-16,0
item_placement_9911__A:llm__s0.json.gz,item_placement_9911.mps.gz,A:llm,0,True,0.0,2.384728877702358e-07,2.220446049250313e-16,18.175085007000032,18.175085007000032,0.0,0
item_placement_9911__A:llm__s1.json.gz,item_placement_9911.mps.gz,A:llm,1,True,0.0,2.7773943056256146e-08,2.220446049250313e-16,22.68119085700016,22.68119085700016,0.0,0
item_placement_9911__C:HEU__s0.json.gz,item_placement_9911.mps.gz,C:HEU,0,True,0.0,0.0,2.325581405226984e-08,16.950922571,16.950922571,0.0,0
item_placement_9911__C:HEU__s1.json.gz,item_placement_9911.mps.gz,C:HEU,1,True,0.0,0.0,3.3306690738754696e-16,24.645433523000012,24.645433523000015,1.4415302029420497e-16,0
item_placement_9912__A:default__s0.json.gz,item_placement_9912.mps.gz,A:default,0,True,0.0,0.0,1.1102230246251565e-16,26.469769090000042,26.469769090000042,0.0,0
item_placement_9912__A:default__s1.json.gz,item_placement_9912.mps.gz,A:default,1,True,0.0,0.0,2.220446049250313e-16,27.729897733000023,27.729897733000023,0.0,0
item_placement_9912__A:gpt6luna__s0.json.gz,item_placement_9912.mps.gz,A:gpt6luna,0,True,1.3877787807814457e-17,4.440892098500626e-16,3.3333333593343895e-08,18.077515736999974,18.077515736999974,0.0,0
item_placement_9912__A:laya__s0.json.gz,item_placement_9912.mps.gz,A:laya,0,True,0.0,0.0,1.1102230246251565e-16,18.094171482999982,18.094171482999982,0.0,0
item_placement_9912__A:laya__s1.json.gz,item_placement_9912.mps.gz,A:laya,1,True,2.7755575615628914e-17,9.992007221626409e-16,2.220446049250313e-16,15.221388859999964,15.221388859999966,1.1670136383338245e-16,0
