sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
binkar10_1__A:bandit__s0.json.gz,binkar10_1.mps.gz,A:bandit,0,True,1.7173762412169765e-14,1.7173762412169765e-14,1.1102230246251565e-16,6742.200024,6742.200023998389,2.3890052373210945e-13,0
binkar10_1__A:bandit__s1.json.gz,binkar10_1.mps.gz,A:bandit,1,True,6.661338147750939e-16,6.661338147750939e-16,0.0,6742.200024,6742.200023998388,2.390354195670796e-13,0
binkar10_1__A:default__s0.json.gz,binkar10_1.mps.gz,A:default,0,True,1.7173762412169765e-14,1.7173762412169765e-14,1.1102230246251565e-16,6742.200024,6742.200023998389,2.3890052373210945e-13,0
binkar10_1__A:default__s1.json.gz,binkar10_1.mps.gz,A:default,1,True,6.661338147750939e-16,6.661338147750939e-16,0.0,6742.200024,6742.200023998388,2.390354195670796e-13,0
binkar10_1__A:rules__s0.json.gz,binkar10_1.mps.gz,A:rules,0,True,3.9968028886505635e-15,2.7934942075719622e-15,2.220446049250313e-16,6742.200024,6742.200023999438,8.336562601153058e-14,0
binkar10_1__A:rules__s1.json.gz,binkar10_1.mps.gz,A:rules,1,True,6.661338147750939e-16,6.661338147750939e-16,0.0,6742.200024,6742.200023998388,2.390354195670796e-13,0
comp21-2idx__A:bandit__s0.json.gz,comp21-2idx.mps.gz,A:bandit,0,True,0.0,0.0,0.0,314.0,314.0,0.0,0
comp21-2idx__A:bandit__s1.json.gz,comp21-2idx.mps.gz,A:bandit,1,True,0.0,0.0,0.0,351.0,351.0,0.0,0
comp21-2idx__A:default__s0.json.gz,comp21-2idx.mps.gz,A:default,0,True,0.0,0.0,0.0,553.0,553.0,0.0,0
comp21-2idx__A:default__s1.json.gz,comp21-2idx.mps.gz,A:default,1,True,0.0,0.0,0.0,739.0,739.0,0.0,0
comp21-2idx__A:rules__s0.json.gz,comp21-2idx.mps.gz,A:rules,0,True,0.0,0.0,0.0,346.0,346.0,0.0,0
comp21-2idx__A:rules__s1.json.gz,comp21-2idx.mps.gz,A:rules,1,True,0.0,0.0,0.0,429.0,429.0,0.0,0
dws008-01__A:bandit__s0.json.gz,dws008-01.mps.gz,A:bandit,0,True,0.0,0.0,5.068924443428044e-14,41525.185495322075,41525.185495322075,0.0,0
dws008-01__A:bandit__s1.json.gz,dws008-01.mps.gz,A:bandit,1,True,1.7763568394002505e-15,1.0636867301797908e-15,7.96265627882342e-14,54213.40650101505,54213.40650101505,0.0,0
dws008-01__A:default__s0.json.gz,dws008-01.mps.gz,A:default,0,True,1.4210854715202004e-14,0.0,6.414622474707543e-14,64160.4190289732,64160.41902897319,1.134025887657902e-16,0
eil33-2__A:bandit__s0.json.gz,eil33-2.mps.gz,A:bandit,0,True,0.0,0.0,0.0,934.007916,934.0079159999996,4.868774055298952e-16,0
eil33-2__A:bandit__s1.json.gz,eil33-2.mps.gz,A:bandit,1,True,0.0,0.0,0.0,934.007916,934.0079159999996,4.868774055298952e-16,0
eil33-2__A:default__s0.json.gz,eil33-2.mps.gz,A:default,0,True,0.0,0.0,0.0,934.007916,934.0079159999996,4.868774055298952e-16,0
eil33-2__A:default__s1.json.gz,eil33-2.mps.gz,A:default,1,True,0.0,0.0,0.0,934.007916,934.0079159999996,4.868774055298952e-16,0
eil33-2__A:rules__s0.json.gz,eil33-2.mps.gz,A:rules,0,True,0.0,0.0,0.0,934.007916,934.0079159999996,4.868774055298952e-16,0
eil33-2__A:rules__s1.json.gz,eil33-2.mps.gz,A:rules,1,True,7.294126118153966e-16,1.731433120643899e-15,2.220446049250313e-16,934.007916,934.0079159999996,4.868774055298952e-16,0
gen-ip054__A:bandit__s0.json.gz,gen-ip054.mps.gz,A:bandit,0,True,0.0,0.0,0.0,6850.576067582,6850.576067582,0.0,0
gen-ip054__A:bandit__s1.json.gz,gen-ip054.mps.gz,A:bandit,1,True,0.0,2.8399129048395366e-08,0.0,6840.965640792,6840.965640791999,1.329482926137944e-16,0
gen-ip054__A:default__s0.json.gz,gen-ip054.mps.gz,A:default,0,True,0.0,0.0,0.0,6849.146852632,6849.146852632,0.0,0
gen-ip054__A:default__s1.json.gz,gen-ip054.mps.gz,A:default,1,True,0.0,0.0,0.0,6840.9656417920005,6840.9656417920005,0.0,0
gen-ip054__A:rules__s0.json.gz,gen-ip054.mps.gz,A:rules,0,True,0.0,0.0,0.0,6840.9656417920005,6840.965641792001,1.3294829259436022e-16,0
gen-ip054__A:rules__s1.json.gz,gen-ip054.mps.gz,A:rules,1,True,0.0,0.0,0.0,6840.9656417920005,6840.9656417920005,0.0,0
graphdraw-domain__A:bandit__s0.json.gz,graphdraw-domain.mps.gz,A:bandit,0,True,0.0,3.5294150890763376e-07,0.0,19685.99996999997,19685.99996999997,0.0,0
graphdraw-domain__A:bandit__s1.json.gz,graphdraw-domain.mps.gz,A:bandit,1,True,0.0,2.5000016989906726e-07,1.666667799327115e-07,19685.99995699997,19685.99995699997,0.0,0
graphdraw-domain__A:default__s0.json.gz,graphdraw-domain.mps.gz,A:default,0,True,0.0,0.0,0.0,19686.0,19686.0,0.0,0
graphdraw-domain__A:default__s1.json.gz,graphdraw-domain.mps.gz,A:default,1,True,2.220446049250313e-16,1.4210854715202004e-14,4.973799150320701e-14,19685.999999999993,19685.999999999993,0.0,0
graphdraw-domain__A:rules__s0.json.gz,graphdraw-domain.mps.gz,A:rules,0,True,8.326672684688674e-17,1.0658141036401503e-14,1.0658141036401503e-14,19686.00000000002,19686.00000000002,0.0,0
graphdraw-domain__A:rules__s1.json.gz,graphdraw-domain.mps.gz,A:rules,1,True,1.6454673880760215e-14,3.552713678800501e-15,2.4868995751603507e-14,19685.999999999993,19685.999999999993,0.0,0
ic97_potential__A:bandit__s0.json.gz,ic97_potential.mps.gz,A:bandit,0,True,0.0,0.0,0.0,3942.0,3942.0,0.0,0
ic97_potential__A:bandit__s1.json.gz,ic97_potential.mps.gz,A:bandit,1,True,0.0,0.0,0.0,3946.0,3946.0,0.0,0
ic97_potential__A:default__s0.json.gz,ic97_potential.mps.gz,A:default,0,True,0.0,0.0,0.0,3955.0,3955.0,0.0,0
ic97_potential__A:default__s1.json.gz,ic97_potential.mps.gz,A:default,1,True,1.4921397450962104e-13,6.217248937900877e-15,8.526512829121202e-15,3943.0,3943.0,0.0,0
ic97_potential__A:rules__s0.json.gz,ic97_potential.mps.gz,A:rules,0,True,0.0,0.0,0.0,3947.0,3947.0,0.0,0
ic97_potential__A:rules__s1.json.gz,ic97_potential.mps.gz,A:rules,1,True,2.842170943040401e-14,5.10702591327572e-15,1.2180732613030288e-14,3956.0,3956.0000000000005,1.1495130204410112e-16,0
item_placement_9900__A:bandit__s0.json.gz,item_placement_9900.mps.gz,A:bandit,0,True,0.0,0.0,1.1102230246251565e-16,16.79177794199997,16.79177794199997,0.0,0
item_placement_9900__A:bandit__s1.json.gz,item_placement_9900.mps.gz,A:bandit,1,True,0.0,2.3466742982147792e-07,2.220446049250313e-16,12.972938282000047,12.972938282000047,0.0,0
item_placement_9900__A:default__s0.json.gz,item_placement_9900.mps.gz,A:default,0,True,0.0,0.0,2.220446049250313e-16,31.112916005000034,31.112916005000038,1.1418774370841865e-16,0
item_placement_9900__A:default__s1.json.gz,item_placement_9900.mps.gz,A:default,1,True,0.0,0.0,2.220446049250313e-16,13.499898602000043,13.499898602000043,0.0,0
item_placement_9900__A:rules__s0.json.gz,item_placement_9900.mps.gz,A:rules,0,True,0.0,0.0,2.220446049250313e-16,28.543695355999905,28.543695355999905,0.0,0
item_placement_9900__A:rules__s1.json.gz,item_placement_9900.mps.gz,A:rules,1,True,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,26.056613945000038,26.05661394500004,1.3634594603502675e-16,0
