sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
item_placement_9910__A:bandit5__s0.json.gz,item_placement_9910.mps.gz,A:bandit5,0,True,0.0,0.0,1.1102230246251565e-16,13.681958183999974,13.681958183999974,0.0,0
item_placement_9910__A:bandit5__s1.json.gz,item_placement_9910.mps.gz,A:bandit5,1,True,6.938893903907228e-18,9.630493273162205e-08,1.1102230246251565e-16,11.593057153999998,11.593057153999997,1.5322591925524556e-16,0
item_placement_9910__A:bandit__s0.json.gz,item_placement_9910.mps.gz,A:bandit,0,True,0.0,0.0,2.220446049250313e-16,11.10966381399996,11.10966381399996,0.0,0
item_placement_9910__A:bandit__s1.json.gz,item_placement_9910.mps.gz,A:bandit,1,True,0.0,1.0055571286748943e-07,3.3306690738754696e-16,12.39459511000004,12.394595110000042,1.4331705260521774e-16,0
item_placement_9910__A:default__s0.json.gz,item_placement_9910.mps.gz,A:default,0,True,0.0,0.0,1.1102230246251565e-16,18.17881852399999,18.17881852399999,0.0,0
item_placement_9910__A:default__s1.json.gz,item_placement_9910.mps.gz,A:default,1,True,0.0,0.0,2.220446049250313e-16,18.448243623999943,18.448243623999943,0.0,0
item_placement_9910__A:diagbandit__s0.json.gz,item_placement_9910.mps.gz,A:diagbandit,0,True,0.0,0.0,1.1102230246251565e-16,10.699882860000027,10.699882860000027,0.0,0
item_placement_9910__A:diagbandit__s1.json.gz,item_placement_9910.mps.gz,A:diagbandit,1,True,0.0,0.0,2.220446049250313e-16,12.505856233999983,12.505856233999985,1.4204200065652638e-16,0
item_placement_9910__C:HEU__s0.json.gz,item_placement_9910.mps.gz,C:HEU,0,True,0.0,0.0,1.1102230246251565e-16,14.906602120000047,14.906602120000047,0.0,0
item_placement_9910__C:HEU__s1.json.gz,item_placement_9910.mps.gz,C:HEU,1,True,0.0,0.0,2.220446049250313e-16,15.47908301,15.47908301,0.0,0
item_placement_9910__C:INF__s0.json.gz,item_placement_9910.mps.gz,C:INF,0,True,1.5543122344752192e-15,1.5543122344752192e-15,2.220446049250313e-16,14.87697329400007,14.87697329400007,0.0,0
item_placement_9910__C:INF__s1.json.gz,item_placement_9910.mps.gz,C:INF,1,True,3.774758283725532e-15,4.3298697960381105e-15,2.220446049250313e-16,11.234610209999966,11.234610209999968,1.5811468366024026e-16,0
item_placement_9910__C:NOC__s0.json.gz,item_placement_9910.mps.gz,C:NOC,0,True,0.0,5.551115123125783e-16,4.440892098500626e-16,14.039964073999913,14.039964073999911,1.265214661545908e-16,0
item_placement_9910__C:NOC__s1.json.gz,item_placement_9910.mps.gz,C:NOC,1,True,6.661338147750939e-16,6.661338147750939e-16,6.661338147750939e-16,13.73338607000002,13.733386070000018,1.2934587510654962e-16,0
item_placement_9910__C:PSC__s0.json.gz,item_placement_9910.mps.gz,C:PSC,0,True,0.0,0.0,2.220446049250313e-16,17.755419704000015,17.755419704000015,0.0,0
item_placement_9910__C:PSC__s1.json.gz,item_placement_9910.mps.gz,C:PSC,1,True,0.0,0.0,2.220446049250313e-16,15.391772489999944,15.391772489999944,0.0,0
item_placement_9911__A:bandit5__s0.json.gz,item_placement_9911.mps.gz,A:bandit5,0,True,1.5543122344752192e-15,1.5543122344752192e-15,2.220446049250313e-16,20.086879330999974,20.08687933099997,1.7686737796635327e-16,0
item_placement_9911__A:bandit5__s1.json.gz,item_placement_9911.mps.gz,A:bandit5,1,True,0.0,0.0,1.1102230246251565e-16,18.06215051100003,18.06215051100003,0.0,0
item_placement_9911__A:bandit__s0.json.gz,item_placement_9911.mps.gz,A:bandit,0,True,0.0,0.0,2.220446049250313e-16,17.673220653000058,17.673220653000058,0.0,0
item_placement_9911__A:bandit__s1.json.gz,item_placement_9911.mps.gz,A:bandit,1,True,0.0,0.0,1.1102230246251565e-16,20.462890236999886,20.462890236999886,0.0,0
