sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
item_placement_9910__A:default__s0.json.gz,item_placement_9910.mps.gz,A:default,0,True,0.0,0.0,1.1102230246251565e-16,18.17881852399999,18.17881852399999,0.0,0
item_placement_9910__A:default__s1.json.gz,item_placement_9910.mps.gz,A:default,1,True,0.0,0.0,2.220446049250313e-16,18.448243623999943,18.448243623999943,0.0,0
item_placement_9910__A:heu_cb__s0.json.gz,item_placement_9910.mps.gz,A:heu_cb,0,True,0.0,0.0,2.220446049250313e-16,14.203646339999995,14.203646339999995,0.0,0
item_placement_9910__A:heu_cb__s1.json.gz,item_placement_9910.mps.gz,A:heu_cb,1,True,0.0,7.771561172376096e-16,2.220446049250313e-16,15.556491469999962,15.556491469999962,0.0,0
item_placement_9910__A:llm__s0.json.gz,item_placement_9910.mps.gz,A:llm,0,True,0.0,0.0,2.220446049250313e-16,14.203646339999995,14.203646339999995,0.0,0
item_placement_9910__A:llm__s1.json.gz,item_placement_9910.mps.gz,A:llm,1,True,0.0,0.0,3.3333335640317596e-09,13.869131179999941,13.869131179999943,1.2807989313431945e-16,0
item_placement_9910__A:llm_first__s0.json.gz,item_placement_9910.mps.gz,A:llm_first,0,True,0.0,0.0,2.220446049250313e-16,14.203646339999995,14.203646339999995,0.0,0
item_placement_9910__A:llm_first__s1.json.gz,item_placement_9910.mps.gz,A:llm_first,1,True,0.0,7.771561172376096e-16,2.220446049250313e-16,15.556491469999962,15.556491469999962,0.0,0
item_placement_9910__C:HEU__s0.json.gz,item_placement_9910.mps.gz,C:HEU,0,True,0.0,0.0,1.1102230246251565e-16,14.906602120000047,14.906602120000047,0.0,0
item_placement_9910__C:HEU__s1.json.gz,item_placement_9910.mps.gz,C:HEU,1,True,0.0,0.0,2.220446049250313e-16,15.47908301,15.47908301,0.0,0
item_placement_9911__A:default__s0.json.gz,item_placement_9911.mps.gz,A:default,0,True,0.0,0.0,2.220446049250313e-16,22.769559344000008,22.769559344000008,0.0,0
item_placement_9911__A:default__s1.json.gz,item_placement_9911.mps.gz,A:default,1,True,0.0,0.0,1.1102230246251565e-16,19.858990880000025,19.85899088000002,1.7889698929155746e-16,0
item_placement_9911__A:heu_cb__s0.json.gz,item_placement_9911.mps.gz,A:heu_cb,0,True,0.0,0.0,1.1102230246251565e-16,19.178047883,19.178047883000005,1.852489732257751e-16,0
item_placement_9911__A:heu_cb__s1.json.gz,item_placement_9911.mps.gz,A:heu_cb,1,True,2.5264465619583794e-16,7.771561172376096e-16,2.220446049250313e-16,18.078998539000047,18.078998539000047,0.0,0
item_placement_9911__A:llm__s0.json.gz,item_placement_9911.mps.gz,A:llm,0,True,2.220446049250313e-16,2.220446049250313e-16,3.3333334981122675e-09,19.082011542999957,19.082011542999957,0.0,0
item_placement_9911__A:llm__s1.json.gz,item_placement_9911.mps.gz,A:llm,1,True,0.0,1.1102230246251565e-15,1.1102230246251565e-16,20.173301750999986,20.173301750999983,1.7610967816036333e-16,0
item_placement_9911__A:llm_first__s0.json.gz,item_placement_9911.mps.gz,A:llm_first,0,True,0.0,0.0,1.1102230246251565e-16,19.178047883,19.178047883000005,1.852489732257751e-16,0
item_placement_9911__A:llm_first__s1.json.gz,item_placement_9911.mps.gz,A:llm_first,1,True,1.1102230246251565e-16,0.0,2.220446049250313e-16,19.856601128999962,19.856601128999966,1.7891851962579185e-16,0
item_placement_9911__C:HEU__s0.json.gz,item_placement_9911.mps.gz,C:HEU,0,True,0.0,0.0,2.325581405226984e-08,16.950922571,16.950922571,0.0,0
item_placement_9911__C:HEU__s1.json.gz,item_placement_9911.mps.gz,C:HEU,1,True,0.0,0.0,3.3306690738754696e-16,24.645433523000012,24.645433523000015,1.4415302029420497e-16,0
item_placement_9912__A:default__s0.json.gz,item_placement_9912.mps.gz,A:default,0,True,0.0,0.0,1.1102230246251565e-16,26.469769090000042,26.469769090000042,0.0,0
item_placement_9912__A:default__s1.json.gz,item_placement_9912.mps.gz,A:default,1,True,0.0,0.0,2.220446049250313e-16,27.729897733000023,27.729897733000023,0.0,0
item_placement_9912__A:heu_cb__s0.json.gz,item_placement_9912.mps.gz,A:heu_cb,0,True,0.0,0.0,1.1102230246251565e-16,18.094171482999982,18.094171482999982,0.0,0
item_placement_9912__A:heu_cb__s1.json.gz,item_placement_9912.mps.gz,A:heu_cb,1,True,2.7755575615628914e-17,9.992007221626409e-16,2.220446049250313e-16,15.221388859999964,15.221388859999966,1.1670136383338245e-16,0
item_placement_9912__A:llm__s0.json.gz,item_placement_9912.mps.gz,A:llm,0,True,0.0,0.0,1.1102230246251565e-16,18.094171482999982,18.094171482999982,0.0,0
item_placement_9912__A:llm__s1.json.gz,item_placement_9912.mps.gz,A:llm,1,True,2.7755575615628914e-17,9.992007221626409e-16,2.220446049250313e-16,15.221388859999964,15.221388859999966,1.1670136383338245e-16,0
item_placement_9912__A:llm_first__s0.json.gz,item_placement_9912.mps.gz,A:llm_first,0,True,0.0,0.0,1.1102230246251565e-16,18.094171482999982,18.094171482999982,0.0,0
