sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
item_placement_9910__A:heu_10__s0.json.gz,item_placement_9910.mps.gz,A:heu_10,0,True,0.0,0.0,1.1102230246251565e-16,11.188684913517106,11.188684913517106,0.0,0
item_placement_9910__A:heu_cb__s0.json.gz,item_placement_9910.mps.gz,A:heu_cb,0,True,1.1102230246251565e-15,1.1102230246251565e-15,2.220446049250313e-16,14.026349309999981,14.026349309999981,0.0,0
item_placement_9910__C:HEU__s0.json.gz,item_placement_9910.mps.gz,C:HEU,0,True,0.0,0.0,1.1102230246251565e-16,14.906602120000047,14.906602120000047,0.0,0
item_placement_9911__A:heu_10__s0.json.gz,item_placement_9911.mps.gz,A:heu_10,0,True,1.1102230246251565e-15,1.1102230246251565e-15,3.3333332725982157e-09,15.487670152999979,15.487670152999982,2.2938980774408703e-16,0
item_placement_9911__A:heu_cb__s0.json.gz,item_placement_9911.mps.gz,A:heu_cb,0,True,0.0,0.0,1.1102230246251565e-16,19.178047883,19.178047883000005,1.852489732257751e-16,0
item_placement_9911__C:HEU__s0.json.gz,item_placement_9911.mps.gz,C:HEU,0,True,0.0,0.0,2.325581405226984e-08,16.950922571,16.950922571,0.0,0
item_placement_9912__A:heu_10__s0.json.gz,item_placement_9912.mps.gz,A:heu_10,0,True,2.8958874780508606e-16,2.8958874780508606e-16,2.220446049250313e-16,20.191009472999983,20.191009472999983,0.0,0
item_placement_9912__A:heu_cb__s0.json.gz,item_placement_9912.mps.gz,A:heu_cb,0,True,0.0,0.0,1.1102230246251565e-16,18.094171482999982,18.094171482999982,0.0,0
item_placement_9912__C:HEU__s0.json.gz,item_placement_9912.mps.gz,C:HEU,0,True,0.0,0.0,1.1102230246251565e-16,21.045046126999885,21.045046126999885,0.0,0
item_placement_9913__A:heu_10__s0.json.gz,item_placement_9913.mps.gz,A:heu_10,0,True,0.0,0.0,3.3306690738754696e-16,23.384503170999995,23.38450317099999,1.519259850346684e-16,0
item_placement_9913__A:heu_cb__s0.json.gz,item_placement_9913.mps.gz,A:heu_cb,0,True,0.0,0.0,3.3222592454862365e-09,22.01946199000004,22.01946199000004,0.0,0
item_placement_9913__C:HEU__s0.json.gz,item_placement_9913.mps.gz,C:HEU,0,True,0.0,1.1102230246251565e-16,9.999998116690112e-07,25.570738318000146,25.570738318000146,0.0,0
item_placement_9914__A:heu_10__s0.json.gz,item_placement_9914.mps.gz,A:heu_10,0,True,0.0,0.0,4.440892098500626e-16,20.58132522999999,20.58132522999999,0.0,0
item_placement_9914__A:heu_cb__s0.json.gz,item_placement_9914.mps.gz,A:heu_cb,0,True,9.999999717111296e-07,1.1102230246251565e-16,2.220446049250313e-16,21.001471229999968,21.001471229999968,0.0,0
item_placement_9914__C:HEU__s0.json.gz,item_placement_9914.mps.gz,C:HEU,0,True,0.0,3.6978035855561586e-08,2.220446049250313e-16,21.345454849999943,21.345454849999946,1.6643888377016758e-16,0
item_placement_9915__A:heu_10__s0.json.gz,item_placement_9915.mps.gz,A:heu_10,0,True,0.0,4.440892098500626e-16,1.6666666879938674e-08,33.72224561399996,33.72224561399996,0.0,0
item_placement_9915__A:heu_cb__s0.json.gz,item_placement_9915.mps.gz,A:heu_cb,0,True,0.0,0.0,1.1102230246251565e-16,37.952414052000016,37.95241405200002,1.8721937813667374e-16,0
item_placement_9915__C:HEU__s0.json.gz,item_placement_9915.mps.gz,C:HEU,0,True,8.881784197001252e-16,8.881784197001252e-16,2.220446049250313e-16,34.5254084200001,34.5254084200001,0.0,0
item_placement_9916__A:heu_10__s0.json.gz,item_placement_9916.mps.gz,A:heu_10,0,True,0.0,0.0,2.220446049250313e-16,28.127763697999974,28.127763697999974,0.0,0
item_placement_9916__A:heu_cb__s0.json.gz,item_placement_9916.mps.gz,A:heu_cb,0,True,0.0,0.0,3.9867109391522604e-08,28.50748376299998,28.50748376299998,0.0,0
item_placement_9916__C:HEU__s0.json.gz,item_placement_9916.mps.gz,C:HEU,0,True,0.0,0.0,3.3306690738754696e-16,28.613851203000035,28.61385120300004,1.2416062604072025e-16,0
item_placement_9917__A:heu_10__s0.json.gz,item_placement_9917.mps.gz,A:heu_10,0,True,3.1086244689504383e-15,3.1086244689504383e-15,4.440892098500626e-16,24.244118106999956,24.244118106999956,0.0,0
item_placement_9917__A:heu_cb__s0.json.gz,item_placement_9917.mps.gz,A:heu_cb,0,True,0.0,1.4724108120389074e-16,2.6666666923247373e-08,23.024342039999894,23.024342039999894,0.0,0
item_placement_9917__C:HEU__s0.json.gz,item_placement_9917.mps.gz,C:HEU,0,True,0.0,0.0,2.220446049250313e-16,23.829252057000033,23.829252057000033,0.0,0
item_placement_9918__A:heu_10__s0.json.gz,item_placement_9918.mps.gz,A:heu_10,0,True,0.0,0.0,2.220446049250313e-16,19.636174475000026,19.636174475000026,0.0,0
item_placement_9918__A:heu_cb__s0.json.gz,item_placement_9918.mps.gz,A:heu_cb,0,True,0.0,0.0,2.220446049250313e-16,20.154275262999985,20.154275262999988,1.76275933142717e-16,0
item_placement_9918__C:HEU__s0.json.gz,item_placement_9918.mps.gz,C:HEU,0,True,0.0,0.0,0.0,22.922339935000036,22.922339935000036,0.0,0
item_placement_9919__A:heu_10__s0.json.gz,item_placement_9919.mps.gz,A:heu_10,0,True,0.0,0.0,3.3306690738754696e-16,18.55965635899995,18.559656358999945,1.9142130705872255e-16,0
item_placement_9919__A:heu_cb__s0.json.gz,item_placement_9919.mps.gz,A:heu_cb,0,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,15.193788568999988,15.19378856899999,1.1691335780626602e-16,0
item_placement_9919__C:HEU__s0.json.gz,item_placement_9919.mps.gz,C:HEU,0,True,0.0,0.0,2.220446049250313e-16,14.370249356999915,14.370249356999915,0.0,0
item_placement_9920__A:heu_10__s0.json.gz,item_placement_9920.mps.gz,A:heu_10,0,True,0.0,0.0,2.220446049250313e-16,29.47749556,29.47749556,0.0,0
item_placement_9920__A:heu_cb__s0.json.gz,item_placement_9920.mps.gz,A:heu_cb,0,True,2.269511062819623e-16,3.8010297852718e-16,3.3333333003537913e-09,27.51262842099999,27.51262842099999,0.0,0
item_placement_9920__C:HEU__s0.json.gz,item_placement_9920.mps.gz,C:HEU,0,True,0.0,0.0,1.1102230246251565e-16,33.22293206099999,33.22293206099999,0.0,0
item_placement_9921__A:heu_10__s0.json.gz,item_placement_9921.mps.gz,A:heu_10,0,True,1.0568815486931664e-17,7.771561172376096e-16,2.220446049250313e-16,14.158621280000023,14.158621280000025,1.254611451405562e-16,0
item_placement_9921__A:heu_cb__s0.json.gz,item_placement_9921.mps.gz,A:heu_cb,0,True,0.0,0.0,0.0,14.87561958499995,14.87561958499995,0.0,0
item_placement_9921__C:HEU__s0.json.gz,item_placement_9921.mps.gz,C:HEU,0,True,1.3877787807814457e-17,1.2212453270876722e-15,2.6666666959676566e-08,15.948959969999992,15.948959969999994,1.1137759720643723e-16,0
item_placement_9922__A:heu_10__s0.json.gz,item_placement_9922.mps.gz,A:heu_10,0,True,1.2656542480726785e-14,1.2656542480726785e-14,2.220446049250313e-16,38.14491683699999,38.14491683699999,0.0,0
item_placement_9922__A:heu_cb__s0.json.gz,item_placement_9922.mps.gz,A:heu_cb,0,True,0.0,4.440892098500626e-16,3.3306690738754696e-16,35.16851651199999,35.168516512,2.0203943931432334e-16,0
item_placement_9922__C:HEU__s0.json.gz,item_placement_9922.mps.gz,C:HEU,0,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,35.901251721999984,35.901251721999984,0.0,0
