sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
50v-10__partner__s0.json.gz,50v-10.mps.gz,S0,1,True,3.552713678800501e-15,0.0,0.0,3673.419978678227,3673.419978678227,0.0,0
50v-10__scip__s0.json.gz,50v-10.mps.gz,S0,0,True,0.0,0.0,0.0,3402.8799871951333,3402.879987195133,1.3363602377916812e-16,0
CMS750_4__partner__s0.json.gz,CMS750_4.mps.gz,S0,1,True,1.0302869668521453e-13,4.334310688136611e-13,5.6274984672199935e-12,252.0,252.0,0.0,0
CMS750_4__scip__s0.json.gz,CMS750_4.mps.gz,S0,0,True,1.4210854715202004e-14,1.4210854715202004e-14,2.2737367544323206e-13,253.0,253.0,0.0,0
air05__partner__s0.json.gz,air05.mps.gz,S0,1,True,2.3282962859281855e-14,2.5424107263916085e-14,1.7541523789077473e-14,26374.0,26374.0,0.0,0
air05__scip__s0.json.gz,air05.mps.gz,S0,0,True,0.0,0.0,0.0,26374.0,26374.0,0.0,0
assign1-5-8__partner__s0.json.gz,assign1-5-8.mps.gz,S0,1,True,0.0,4.440892098500626e-16,4.440892098500626e-16,212.0,212.0,0.0,0
assign1-5-8__scip__s0.json.gz,assign1-5-8.mps.gz,S0,0,True,0.0,0.0,0.0,212.0,212.0,0.0,0
beasleyC3__partner__s0.json.gz,beasleyC3.mps.gz,S0,1,True,8.659739592076221e-15,8.659739592076221e-15,7.105427357601002e-15,754.0,754.0,0.0,0
beasleyC3__scip__s0.json.gz,beasleyC3.mps.gz,S0,0,True,0.0,0.0,0.0,754.0,754.0,0.0,0
binkar10_1__partner__s0.json.gz,binkar10_1.mps.gz,S0,1,True,6.661338147750939e-16,6.661338147750939e-16,0.0,6742.200024,6742.200023998388,2.390354195670796e-13,0
binkar10_1__scip__s0.json.gz,binkar10_1.mps.gz,S0,0,True,1.7173762412169765e-14,1.7173762412169765e-14,1.1102230246251565e-16,6742.200024,6742.200023998389,2.3890052373210945e-13,0
cbs-cta__partner__s0.json.gz,cbs-cta.mps.gz,S0,1,True,7.105427357601002e-15,2.220446049250313e-16,9.49601508537512e-12,0.0,0.0,0.0,0
cbs-cta__scip__s0.json.gz,cbs-cta.mps.gz,S0,0,True,0.0,1.1102230246251565e-16,2.8181901257084974e-11,0.0,0.0,0.0,0
cod105__partner__s0.json.gz,cod105.mps.gz,S0,1,True,1.6209256159527285e-14,2.0933605662667542e-14,3.863576125695545e-14,-12.0,-12.0,0.0,0
cod105__scip__s0.json.gz,cod105.mps.gz,S0,0,True,4.169789652750767e-14,4.169789652750767e-14,1.1324274851176597e-13,-12.0,-12.0,0.0,0
comp21-2idx__partner__s0.json.gz,comp21-2idx.mps.gz,S0,1,True,0.0,0.0,0.0,739.0,739.0,0.0,0
comp21-2idx__scip__s0.json.gz,comp21-2idx.mps.gz,S0,0,True,0.0,0.0,0.0,695.0,695.0,0.0,0
dano3_3__partner__s0.json.gz,dano3_3.mps.gz,S0,1,True,0.0,0.0,1.0160761121369433e-12,576.5707798373187,576.5707798373187,0.0,0
dano3_3__scip__s0.json.gz,dano3_3.mps.gz,S0,0,True,1.7763568394002505e-14,0.0,4.170175316176028e-11,576.3446330306431,576.3446330306431,0.0,0
decomp2__partner__s0.json.gz,decomp2.mps.gz,S0,1,True,0.0,0.0,0.0,-160.0,-160.0,0.0,0
decomp2__scip__s0.json.gz,decomp2.mps.gz,S0,0,True,0.0,0.0,0.0,-160.0,-160.0,0.0,0
drayage-100-23__partner__s0.json.gz,drayage-100-23.mps.gz,S0,1,True,0.0,5.551115123125783e-17,1.5777365911972434e-16,103333.87407302856,103333.87407302856,0.0,0
drayage-100-23__scip__s0.json.gz,drayage-100-23.mps.gz,S0,0,True,0.0,0.0,1.5777365911972434e-16,103333.87407302856,103333.87407302858,1.4082424915263176e-16,0
dws008-01__scip__s0.json.gz,dws008-01.mps.gz,S0,0,True,1.4210854715202004e-14,0.0,6.414622474707543e-14,64160.4190289732,64160.41902897319,1.134025887657902e-16,0
eil33-2__partner__s0.json.gz,eil33-2.mps.gz,S0,1,True,0.0,0.0,0.0,987.674133,987.6741329999995,4.604224568534532e-16,0
eil33-2__scip__s0.json.gz,eil33-2.mps.gz,S0,0,True,0.0,0.0,0.0,934.007916,934.0079159999996,4.868774055298952e-16,0
enlight_hard__partner__s0.json.gz,enlight_hard.mps.gz,S0,1,True,0.0,0.0,0.0,37.0,37.0,0.0,0
enlight_hard__scip__s0.json.gz,enlight_hard.mps.gz,S0,0,True,0.0,0.0,0.0,37.0,37.0,0.0,0
