sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
neos-3656078-kumeu__partner__s0.json.gz,neos-3656078-kumeu.mps.gz,C0,0,True,0.0,0.0,0.0,-12018.4,-12018.400000000001,1.5135037971326103e-16,0
neos-3754480-nidda__cpu__s0.json.gz,neos-3754480-nidda.mps.gz,H1,0,True,7.440957376405881e-13,0.0,2.999494191177558e-13,14233.42216245329,14233.422162454108,5.750867375766103e-14,0
neos-3754480-nidda__partner__s0.json.gz,neos-3754480-nidda.mps.gz,C0,0,True,1.3163802613340502e-12,9.474195284395762e-17,1.4812613358117233e-08,13013.083113146151,13013.083113146151,0.0,0
neos-4722843-widden__cpu__s0.json.gz,neos-4722843-widden.mps.gz,H1,0,True,0.0,0.0,1.1102230246251565e-16,26028.435643564357,26028.435643564357,0.0,0
neos-4763324-toguru__cpu__s0.json.gz,neos-4763324-toguru.mps.gz,H1,0,True,0.0,0.0,0.0,2210.9719013852214,2210.9719013852214,0.0,0
neos-4763324-toguru__partner__s0.json.gz,neos-4763324-toguru.mps.gz,C0,0,True,0.0,0.0,0.0,3839.157158123944,3839.1571581239436,1.1844978784579961e-16,0
neos-787933__cpu__s0.json.gz,neos-787933.mps.gz,H1,0,True,0.0,0.0,0.0,31.0,31.0,0.0,0
neos-787933__partner__s0.json.gz,neos-787933.mps.gz,C0,0,True,0.0,0.0,0.0,40.0,40.0,0.0,0
neos-860300__cpu__s0.json.gz,neos-860300.mps.gz,H1,0,True,9.345775146358054e-15,1.709743457922741e-14,1.9317880628477724e-14,3200.9999999999914,3200.9999999999914,0.0,0
neos-860300__partner__s0.json.gz,neos-860300.mps.gz,C0,0,True,0.0,2.531308496145357e-14,1.7319479184152442e-14,3200.9999999999745,3200.9999999999745,0.0,0
neos-873061__cpu__s0.json.gz,neos-873061.mps.gz,H1,0,True,1.583696604014144e-11,2.888829008045968e-11,1.583696604014144e-11,113.66442547639998,113.66442547639998,0.0,0
neos-873061__partner__s0.json.gz,neos-873061.mps.gz,C0,0,True,3.469446951953614e-18,0.0,7.959394797707651e-16,32681.1017741734,32681.1017741734,0.0,0
neos-911970__cpu__s0.json.gz,neos-911970.mps.gz,H1,0,True,2.0089309327175904e-10,9.131744800321643e-11,9.131317924016003e-11,54.75999999995297,54.75999999995297,0.0,0
neos-911970__partner__s0.json.gz,neos-911970.mps.gz,C0,0,True,1.9574948763741284e-13,1.9574948763741284e-13,1.099120794378905e-13,55.45999999999994,55.459999999999944,1.2811805549226486e-16,0
neos17__cpu__s0.json.gz,neos17.mps.gz,H1,0,True,0.0,0.0,5.551115123125783e-16,0.15000257742257744,0.15000257742257744,0.0,0
neos17__partner__s0.json.gz,neos17.mps.gz,C0,0,True,2.4261866796878422e-17,2.270217535993624e-16,1.1102230246251565e-16,0.17889194805194808,0.17889194805194814,5.551115123125783e-17,0
neos5__cpu__s0.json.gz,neos5.mps.gz,H1,0,True,5.771072508764519e-11,1.20475407427989e-10,2.3001664065499685e-11,14.99999999994166,14.99999999994166,0.0,0
neos5__partner__s0.json.gz,neos5.mps.gz,C0,0,True,5.955014259484415e-12,6.611267089340345e-12,2.4490631744811254e-12,14.999999999996852,14.999999999996852,0.0,0
neos8__cpu__s0.json.gz,neos8.mps.gz,H1,0,True,0.0,0.0,0.0,-3719.0,-3719.0,0.0,0
neos8__partner__s0.json.gz,neos8.mps.gz,C0,0,True,5.342948306008566e-15,2.4868995751603507e-14,7.105427357601002e-15,-3719.000000000001,-3719.0000000000014,1.2227678163120838e-16,0
net12__cpu__s0.json.gz,net12.mps.gz,H1,0,True,2.220446049250313e-16,0.0,2.9605947323337506e-16,255.0,255.0,0.0,0
net12__partner__s0.json.gz,net12.mps.gz,C0,0,True,0.0,0.0,1.2570544447831638e-15,255.0,255.0,0.0,0
ns1116954__cpu__s0.json.gz,ns1116954.mps.gz,H1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
ns1116954__partner__s0.json.gz,ns1116954.mps.gz,C0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
