sol,instance,strategy,seed,feasible,worst_bound,worst_int,worst_row_rel,obj_recomputed,obj_reported,obj_rel_err,unknown_vars
50v-10__partner__s0.json.gz,50v-10.mps.gz,C0,0,True,0.0,1.1811884803591965e-11,1.171389651943855e-09,3629.3899923842328,3629.389992384233,1.2529580779158143e-16,0
50v-10__scip__s0.json.gz,50v-10.mps.gz,S0,0,True,2.4206080618342402e-14,0.0,1.5510935529612299e-15,3392.6799867898217,3392.679986789821,1.3403779686181055e-16,0
CMS750_4__partner__s0.json.gz,CMS750_4.mps.gz,C0,0,True,0.0,0.0,7.389753591269255e-07,252.0,252.0,0.0,0
CMS750_4__scip__s0.json.gz,CMS750_4.mps.gz,S0,0,True,1.4210854715202004e-14,1.4210854715202004e-14,2.2737367544323206e-13,253.0,253.0,0.0,0
air05__partner__s0.json.gz,air05.mps.gz,C0,0,True,5.0182080713057076e-14,5.0182080713057076e-14,3.597122599785507e-14,26373.999999999993,26373.999999999985,2.7587615129231175e-16,0
air05__scip__s0.json.gz,air05.mps.gz,S0,0,True,0.0,0.0,0.0,26374.0,26374.0,0.0,0
assign1-5-8__partner__s0.json.gz,assign1-5-8.mps.gz,C0,0,True,1.5464409735361123e-13,6.21986384222239e-13,2.234656903965515e-13,211.99999999999883,211.99999999999883,0.0,0
assign1-5-8__scip__s0.json.gz,assign1-5-8.mps.gz,S0,0,True,0.0,0.0,0.0,212.0,212.0,0.0,0
beasleyC3__partner__s0.json.gz,beasleyC3.mps.gz,C0,0,True,0.0,8.01581023779363e-14,1.1368683772161603e-13,789.9999999999997,789.9999999999997,0.0,0
beasleyC3__scip__s0.json.gz,beasleyC3.mps.gz,S0,0,True,0.0,0.0,0.0,754.0,754.0,0.0,0
binkar10_1__partner__s0.json.gz,binkar10_1.mps.gz,C0,0,True,0.0,2.7422508708241367e-14,2.7422508708241367e-14,6747.310015,6747.310015,0.0,0
binkar10_1__scip__s0.json.gz,binkar10_1.mps.gz,S0,0,True,1.7173762412169765e-14,1.7173762412169765e-14,1.1102230246251565e-16,6742.200024,6742.200023998389,2.3890052373210945e-13,0
cbs-cta__partner__s0.json.gz,cbs-cta.mps.gz,C0,0,False,0.0,3.137477358663153e-06,8.146751151450093e-07,0.0,0.0,0.0,0
cbs-cta__scip__s0.json.gz,cbs-cta.mps.gz,S0,0,True,0.0,1.1102230246251565e-16,2.8181901257084974e-11,0.0,0.0,0.0,0
chromaticindex1024-7__partner__s0.json.gz,chromaticindex1024-7.mps.gz,C0,0,True,0.0,0.0,0.0,4.0,4.0,0.0,0
cod105__partner__s0.json.gz,cod105.mps.gz,C0,0,True,0.0,0.0,0.0,-12.0,-12.0,0.0,0
cod105__scip__s0.json.gz,cod105.mps.gz,S0,0,True,4.169789652750767e-14,4.169789652750767e-14,1.1324274851176597e-13,-12.0,-12.0,0.0,0
comp21-2idx__partner__s0.json.gz,comp21-2idx.mps.gz,C0,0,True,0.0,0.0,0.0,110.0,110.0,0.0,0
comp21-2idx__scip__s0.json.gz,comp21-2idx.mps.gz,S0,0,True,0.0,0.0,0.0,553.0,553.0,0.0,0
dano3_3__partner__s0.json.gz,dano3_3.mps.gz,C0,0,True,6.041492685167045e-12,2.886579864025407e-14,1.9107915250060614e-10,577.3101055412404,577.3101055412404,0.0,0
dano3_3__scip__s0.json.gz,dano3_3.mps.gz,S0,0,True,1.7763568394002505e-14,0.0,4.170175316176028e-11,576.3446330306431,576.3446330306431,0.0,0
decomp2__partner__s0.json.gz,decomp2.mps.gz,C0,0,True,0.0,0.0,0.0,-160.0,-160.0,0.0,0
decomp2__scip__s0.json.gz,decomp2.mps.gz,S0,0,True,0.0,0.0,0.0,-160.0,-160.0,0.0,0
drayage-100-23__partner__s0.json.gz,drayage-100-23.mps.gz,C0,0,True,0.0,0.0,1.5777365911972434e-16,103333.87407302856,103333.87407302856,0.0,0
drayage-100-23__scip__s0.json.gz,drayage-100-23.mps.gz,S0,0,True,0.0,0.0,1.5777365911972434e-16,103333.87407302856,103333.87407302858,1.4082424915263176e-16,0
dws008-01__scip__s0.json.gz,dws008-01.mps.gz,S0,0,True,1.4210854715202004e-14,0.0,6.414622474707543e-14,64160.4190289732,64160.41902897319,1.134025887657902e-16,0
eil33-2__partner__s0.json.gz,eil33-2.mps.gz,C0,0,True,0.0,7.116529587847253e-14,1.0413891970983968e-13,987.6741330000193,987.6741330000193,0.0,0
eil33-2__scip__s0.json.gz,eil33-2.mps.gz,S0,0,True,0.0,0.0,0.0,934.007916,934.0079159999996,4.868774055298952e-16,0
enlight_hard__partner__s0.json.gz,enlight_hard.mps.gz,C0,0,True,0.0,0.0,0.0,37.0,37.0,0.0,0
enlight_hard__scip__s0.json.gz,enlight_hard.mps.gz,S0,0,True,0.0,0.0,0.0,37.0,37.0,0.0,0
exp-1-500-5-5__partner__s0.json.gz,exp-1-500-5-5.mps.gz,C0,0,True,4.854033841539263e-13,6.301708183276511e-16,4.953142632055337e-13,71742.0,71742.0,0.0,0
exp-1-500-5-5__scip__s0.json.gz,exp-1-500-5-5.mps.gz,S0,0,True,2.0653441154128767e-12,3.3320724229668446e-14,2.8032545981411202e-11,65887.0,65887.0,0.0,0
gen-ip054__partner__s0.json.gz,gen-ip054.mps.gz,C0,0,True,0.0,0.0,0.0,6852.406055845,6852.406055844999,1.3272632916975825e-16,0
gen-ip054__scip__s0.json.gz,gen-ip054.mps.gz,S0,0,True,0.0,0.0,0.0,6857.169059349,6857.169059349,0.0,0
glass-sc__partner__s0.json.gz,glass-sc.mps.gz,C0,0,True,0.0,0.0,0.0,23.0,23.0,0.0,0
glass-sc__scip__s0.json.gz,glass-sc.mps.gz,S0,0,True,0.0,0.0,0.0,23.0,23.0,0.0,0
graphdraw-domain__partner__s0.json.gz,graphdraw-domain.mps.gz,C0,0,True,0.0,0.0,1.5729639812889218e-12,21045.99999999995,21045.99999999995,0.0,0
graphdraw-domain__scip__s0.json.gz,graphdraw-domain.mps.gz,S0,0,True,0.0,0.0,0.0,19686.0,19686.0,0.0,0
h80x6320d__partner__s0.json.gz,h80x6320d.mps.gz,C0,0,True,4.424014260327869e-11,5.5422333389287814e-12,3.0476066115170397e-10,7169.971718999879,7169.971718999879,0.0,0
h80x6320d__scip__s0.json.gz,h80x6320d.mps.gz,S0,0,True,2.0694557179012918e-13,9.103828801926284e-15,2.595257342363766e-12,6382.09905,6382.0990499999925,1.1400571437673683e-15,0
hypothyroid-k1__partner__s0.json.gz,hypothyroid-k1.mps.gz,C0,0,True,0.0,0.0,0.0,-2851.0,-2851.0,0.0,0
hypothyroid-k1__scip__s0.json.gz,hypothyroid-k1.mps.gz,S0,0,True,0.0,0.0,0.0,-2851.0,-2850.999999999999,3.1900901500278094e-16,0
ic97_potential__partner__s0.json.gz,ic97_potential.mps.gz,C0,0,True,5.5067062021407764e-14,5.10702591327572e-15,1.2918958832001821e-14,3979.0000000000005,3979.0,1.1428684365078263e-16,0
ic97_potential__scip__s0.json.gz,ic97_potential.mps.gz,S0,0,True,1.0658141036401503e-14,1.0658141036401503e-14,2.1316282072803006e-13,3995.0,3995.0,0.0,0
istanbul-no-cutoff__partner__s0.json.gz,istanbul-no-cutoff.mps.gz,C0,0,True,2.4440423018745605e-09,0.0,4.944871552226004e-07,212.48744848586847,212.4874484858685,1.3375712134024798e-16,0
istanbul-no-cutoff__scip__s0.json.gz,istanbul-no-cutoff.mps.gz,S0,0,True,2.220446049250313e-16,1.1102230246251565e-16,6.85879464157324e-16,204.0817492414623,204.08174924146226,1.392662966484889e-16,0
mad__partner__s0.json.gz,mad.mps.gz,C0,0,True,2.1760371282653068e-14,2.1871393585115584e-14,1.8735013540549517e-16,0.14000000000000243,0.14000000000000243,0.0,0
mad__scip__s0.json.gz,mad.mps.gz,S0,0,True,8.326672684688674e-17,0.0,6.938893903907228e-17,0.07680000000000031,0.07680000000000049,1.8041124150158794e-16,0
markshare2__partner__s0.json.gz,markshare2.mps.gz,C0,0,True,0.0,0.0,0.0,22.0,22.0,0.0,0
markshare2__scip__s0.json.gz,markshare2.mps.gz,S0,0,True,0.0,0.0,0.0,35.0,35.0,0.0,0
mas74__partner__s0.json.gz,mas74.mps.gz,C0,0,True,0.0,2.701172618913006e-12,6.056559142120361e-13,12350.511435862836,12350.511435862834,1.472804922283591e-16,0
mas74__scip__s0.json.gz,mas74.mps.gz,S0,0,True,3.6064326841603775e-15,3.6064326841603775e-15,1.8496871545643685e-16,12062.558886799992,12062.558886799992,0.0,0
mas76__partner__s0.json.gz,mas76.mps.gz,C0,0,True,0.0,4.1971628267096356e-11,2.7981172934232746e-12,40005.05414195144,40005.05414195145,1.8187595968164098e-16,0
mas76__scip__s0.json.gz,mas76.mps.gz,S0,0,True,0.0,0.0,0.0,40005.054142,40005.054142,0.0,0
n3div36__partner__s0.json.gz,n3div36.mps.gz,C0,0,True,0.0,0.0,0.0,136400.0,136400.0,0.0,0
n3div36__scip__s0.json.gz,n3div36.mps.gz,S0,0,True,2.8945100284870173e-16,3.3306690738754716e-16,1.2688263138573217e-16,133200.0,133200.0,0.0,0
neos-1171737__partner__s0.json.gz,neos-1171737.mps.gz,C0,0,True,0.0,0.0,9.447905036097382e-08,-191.0000000885561,-191.00000008855608,1.488047613467353e-16,0
neos-1171737__scip__s0.json.gz,neos-1171737.mps.gz,S0,0,True,2.263984207078751e-16,2.220446049250313e-16,2.842170943040401e-16,-186.5,-186.5,0.0,0
neos-1445765__partner__s0.json.gz,neos-1445765.mps.gz,C0,0,True,3.952393967665557e-14,6.394884621840902e-14,2.1955770534987096e-12,-17783.000000000007,-17783.000000000007,0.0,0
neos-1445765__scip__s0.json.gz,neos-1445765.mps.gz,S0,0,True,4.440892098500626e-16,6.661338147750939e-16,4.884981308350689e-15,-17783.0,-17783.0,0.0,0
neos-1456979__partner__s0.json.gz,neos-1456979.mps.gz,C0,0,True,1.9317880628477724e-14,1.9317880628477724e-14,1.9317880628477724e-14,258.99999999999943,258.99999999999943,0.0,0
neos-1456979__scip__s0.json.gz,neos-1456979.mps.gz,S0,0,True,5.684341886080802e-14,0.0,1.1672159930350722e-16,193.0,193.0,0.0,0
neos-2657525-crna__partner__s0.json.gz,neos-2657525-crna.mps.gz,C0,0,True,2.5007245959339704e-15,1.318767317570746e-11,2.27653463590849e-11,8.28099319999997,8.28099319999997,0.0,0
neos-2657525-crna__scip__s0.json.gz,neos-2657525-crna.mps.gz,S0,0,True,0.0,0.0,0.0,8.0666482,8.0666482,0.0,0
neos-2978193-inde__partner__s0.json.gz,neos-2978193-inde.mps.gz,C0,0,True,2.3936408410918375e-13,2.16382467499443e-13,4.802824804528427e-13,-2.3880616860000767,-2.3880616860000767,0.0,0
neos-2978193-inde__scip__s0.json.gz,neos-2978193-inde.mps.gz,S0,0,True,2.4424906541753444e-15,1.3322676295501878e-15,1.0658141036401503e-14,-2.388061686,-2.3880616859999995,1.859622020877993e-16,0
neos-3004026-krka__partner__s0.json.gz,neos-3004026-krka.mps.gz,C0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
neos-3004026-krka__scip__s0.json.gz,neos-3004026-krka.mps.gz,S0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0
neos-3046615-murg__partner__s0.json.gz,neos-3046615-murg.mps.gz,C0,0,True,0.0,0.0,0.0,1610.0,1610.0,0.0,0
neos-3046615-murg__scip__s0.json.gz,neos-3046615-murg.mps.gz,S0,0,True,0.0,0.0,0.0,1610.0,1610.0,0.0,0
neos-3381206-awhea__partner__s0.json.gz,neos-3381206-awhea.mps.gz,C0,0,True,0.0,0.0,0.0,453.0,453.0,0.0,0
neos-3381206-awhea__scip__s0.json.gz,neos-3381206-awhea.mps.gz,S0,0,True,2.5376526277146434e-16,1.1102230246251565e-15,0.0,453.0,453.0,0.0,0
neos-3656078-kumeu__partner__s0.json.gz,neos-3656078-kumeu.mps.gz,C0,0,True,0.0,0.0,3.552713678800501e-15,-12730.6,-12730.6,0.0,0
neos-3754480-nidda__partner__s0.json.gz,neos-3754480-nidda.mps.gz,C0,0,True,6.737938632710774e-13,4.468716891682993e-13,5.093170329928398e-11,13562.180207809448,13562.180207809206,1.7838252181039175e-14,0
neos-3754480-nidda__scip__s0.json.gz,neos-3754480-nidda.mps.gz,S0,0,True,0.0,0.0,5.417509074974518e-16,13738.572441257686,13738.572441257686,0.0,0
neos-4722843-widden__scip__s0.json.gz,neos-4722843-widden.mps.gz,S0,0,True,0.0,0.0,0.0,28371.880952380954,28371.880952380954,0.0,0
neos-4763324-toguru__partner__s0.json.gz,neos-4763324-toguru.mps.gz,C0,0,True,0.0,0.0,0.0,3382.178059645554,3382.178059645554,0.0,0
neos-4763324-toguru__scip__s0.json.gz,neos-4763324-toguru.mps.gz,S0,0,True,0.0,0.0,0.0,6760.734845921593,6760.734845921593,0.0,0
neos-787933__partner__s0.json.gz,neos-787933.mps.gz,C0,0,True,0.0,0.0,0.0,37.0,37.0,0.0,0
neos-787933__scip__s0.json.gz,neos-787933.mps.gz,S0,0,True,0.0,0.0,0.0,30.0,30.0,0.0,0
